Gene	Annotation	Mean Probe Intensity Ev2L168	Median Probe Intensity Ev2L168	Bright Segment Length Dependent Score Ev2L168	Bright Probe Fraction Ev2L168	Mean Bright Probe Intensity Ev2L168	Median Bright Probe Intensity Ev2L168	Mean Probe Intensity Ev2L545	Median Probe Intensity Ev2L545	Bright Segment Length Dependent Score Ev2L545	Bright Probe Fraction Ev2L545	Mean Bright Probe Intensity Ev2L545	Median Bright Probe Intensity Ev2L545	 Ev2L545 / Ev2L168 Median	 Ev2L545 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L601	Median Probe Intensity Ev2L601	Bright Segment Length Dependent Score Ev2L601	Bright Probe Fraction Ev2L601	Mean Bright Probe Intensity Ev2L601	Median Bright Probe Intensity Ev2L601	 Ev2L601 / Ev2L168 Median	 Ev2L601 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L911	Median Probe Intensity Ev2L911	Bright Segment Length Dependent Score Ev2L911	Bright Probe Fraction Ev2L911	Mean Bright Probe Intensity Ev2L911	Median Bright Probe Intensity Ev2L911	 Ev2L911 / Ev2L168 Median	 Ev2L911 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L981	Median Probe Intensity Ev2L981	Bright Segment Length Dependent Score Ev2L981	Bright Probe Fraction Ev2L981	Mean Bright Probe Intensity Ev2L981	Median Bright Probe Intensity Ev2L981	 Ev2L981 / Ev2L168 Median	 Ev2L981 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L1281	Median Probe Intensity Ev2L1281	Bright Segment Length Dependent Score Ev2L1281	Bright Probe Fraction Ev2L1281	Mean Bright Probe Intensity Ev2L1281	Median Bright Probe Intensity Ev2L1281	 Ev2L1281 / Ev2L168 Median	 Ev2L1281 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L1347	Median Probe Intensity Ev2L1347	Bright Segment Length Dependent Score Ev2L1347	Bright Probe Fraction Ev2L1347	Mean Bright Probe Intensity Ev2L1347	Median Bright Probe Intensity Ev2L1347	 Ev2L1347 / Ev2L168 Median	 Ev2L1347 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L1731	Median Probe Intensity Ev2L1731	Bright Segment Length Dependent Score Ev2L1731	Bright Probe Fraction Ev2L1731	Mean Bright Probe Intensity Ev2L1731	Median Bright Probe Intensity Ev2L1731	 Ev2L1731 / Ev2L168 Median	 Ev2L1731 / Ev2L168  Median Absolute Deviation
ADC74708.1	ADC74708.1 reductive dehalogenase [Dehalococcoides sp. GT].	2001.63	1481.5	360	0.88	2254.272727	1564.25	4116.174536	2645.439262	2500	1	4116.174536	2645.439262	0.757139602	0.539031897	4443.756668	2975.364622	2500	1	4443.756668	2975.364622	0.839447	0.541229221	3022.418001	2081.164404	1961	0.98	3079.168465	2115.821238	0.360084594	0.359293933	2195.653188	1200.958637	295	0.82	2631.136139	1531.771653	-0.125406696	0.335643789	4498.658719	3337.626197	2500	1	4498.658719	3337.626197	0.836391431	0.52425544	2574.776034	924.5877927	189	0.74	3419.08669	1525.00263	-0.312508646	0.446247894	1976.219639	1022.9957	236	0.8	2434.418131	1480.227165	-0.307165507	0.389299326
ADC74702.1	ADC74702.1 reductive dehalogenase [Dehalococcoides sp. GT].	2241.857143	954	269	0.755102041	2896.5	1638	3474.909457	2743.259985	2401	1	3474.909457	2743.259985	1.00913246	0.596856571	4343.159746	3345.542365	2401	1	4343.159746	3345.542365	1.129594627	0.702518792	2474.058009	1383.214364	610	0.93877551	2624.456643	1959.931094	0.273130011	0.397646401	1844.837152	616.6513623	235	0.714285714	2501.67664	2002.985843	-0.283588984	0.317459915	3659.614653	2508.908211	2401	1	3659.614653	2508.908211	0.924155218	0.464620823	2048.117261	395.9577056	198	0.612244898	3235.671345	1861.594323	-0.375421572	0.406730272	2663.549979	663.3027038	215	0.632653061	4115.212167	2796.239756	-0.276556893	0.694794696
ADC74693.1	ADC74693.1 reductive dehalogenase [Dehalococcoides sp. GT].	2122.978723	1717	425	0.787234043	2644.635135	2097	1750.341096	1281.506043	798	0.936170213	1851.014743	1368.577189	-0.001612197	0.437377753	2437.793775	2089.500404	2209	1	2437.793775	2089.500404	0.377967762	0.582155673	2153.273185	1893.537989	477	0.829787234	2552.604171	2501.464341	0.105295227	0.336406155	1103.070791	832.9320872	201	0.659574468	1599.579165	1208.778844	-0.681635975	0.25393828	3913.587652	1529.935282	740	0.893617021	4349.323844	1593.476562	0.134775803	0.525454493	1546.280791	808.4518269	180	0.638297872	2345.46182	1421.594296	-0.729490539	0.284036805	1277.468482	911.5087049	176	0.595744681	2045.219867	1689.828184	-0.668212643	0.260610946
ADC74676.1	ADC74676.1 reductive dehalogenase [Dehalococcoides sp. GT].	927.34	396.75	257	0.78	1124.525641	455.5	2421.278818	1650.721012	2500	1	2421.278818	1650.721012	1.28432736	0.393336898	2491.634368	1723.553942	2500	1	2491.634368	1723.553942	1.291502454	0.379465961	1633.725825	787.9852001	1286	0.96	1690.629745	846.5454907	0.488640953	0.353332742	843.0464938	272.1632162	154	0.48	1537.371001	434.1644368	-0.411182883	0.289078466	3531.580724	1769.125227	2500	1	3531.580724	1769.125227	1.238144446	0.399123283	731.6277559	170.1176619	38	0.32	1968.718997	1206.050094	-0.723588903	0.375115418	723.3386122	161.3120672	38	0.32	1970.612805	758.6546908	-0.867087337	0.418752633
ADC74673.1	ADC74673.1 reductive dehalogenase [Dehalococcoides sp. GT].	7337.408163	5010	749	0.959183673	7642.957447	5581	9855.034168	8191.834756	2401	1	9855.034168	8191.834756	0.26089111	0.410171624	11132.61869	9732.833678	2401	1	11132.61869	9732.833678	0.410458619	0.473864799	18236.15602	15633.07557	2401	1	18236.15602	15633.07557	0.923792227	0.430249696	10475.67367	9290.429875	1280	0.979591837	10691.28956	9322.194387	0.3284122	0.249568218	10551.54387	8160.089643	2401	1	10551.54387	8160.089643	0.364689572	0.463140777	8535.867239	5095.801733	1280	0.979591837	8711.84533	5203.089034	-0.103014306	0.374751665	11512.81616	9066.983451	1280	0.979591837	11751.08709	9148.94102	0.359068379	0.379223701
ADC74655.1	ADC74655.1 reductive dehalogenase [Dehalococcoides sp. GT].	224.8	164.5	18	0.2	487.65	416.5	489.9246629	466.0416408	503	0.9	515.0471057	472.1608009	0.977790514	0.379384531	871.9577715	862.6808282	2500	1	871.9577715	862.6808282	1.598176343	0.463539749	413.8375421	393.9000119	172	0.6	527.8810878	452.4817827	0.680213198	0.327015337	166.399604	108.3275287	16	0.16	424.7409972	412.9983165	-0.381558219	0.149360159	3447.746687	620.4456691	1286	0.96	3579.836858	629.8630395	1.356596448	0.5077571	203.6299898	117.1162741	20	0.2	573.3242521	541.8508494	-0.398707404	0.325275195	168.7138656	87.9272652	13	0.18	490.9060468	516.2384937	-0.587320923	0.356457143
ADC74651.1	ADC74651.1 reductive dehalogenase [Dehalococcoides sp. GT].	487.73	331	84	0.52	771.2307692	452.5	1321.818251	1224.240606	1213	0.98	1345.231693	1234.026245	1.317495173	0.561247155	2110.971159	1638.384811	1213	0.98	2149.958529	1658.480322	1.728722578	0.65249725	1350.66385	775.1044638	1034	0.96	1401.457108	835.3833151	0.986460441	0.880032896	452.466511	375.5125076	295	0.7	561.6916335	428.950954	0.211219004	0.335625916	1765.088609	1330.768375	1213	0.98	1797.795731	1345.330962	1.48172118	0.430975279	243.8242422	142.1556459	16	0.2	691.5946768	632.7094294	-0.65684678	0.320300404	307.6265672	115.7307674	15	0.18	1163.599755	887.6838432	-0.812312085	0.424684046
ACZ62535.1	ACZ62535.1 reductive dehalogenase [Dehalococcoides sp. VS].	2407.990385	1314	234	0.769230769	3083.5875	1904	3324.204641	1923.637021	630	0.884615385	3731.524042	2122.133884	0.398674235	0.513097668	3603.181621	2129.039729	665	0.903846154	3965.24514	2386.875443	0.515949266	0.47727658	2741.276977	1654.088273	406	0.807692308	3354.130897	1970.633015	0.15877559	0.338598845	2407.375362	949.5816532	377	0.788461538	3015.006613	1479.09028	-0.157394127	0.349681294	3535.908989	2127.109826	630	0.884615385	3970.437075	2878.008724	0.42825649	0.475064509	3116.876482	745.5208879	242	0.807692308	3831.175696	1242.779602	-0.325747208	0.446090494	2153.717823	850.4721837	218	0.769230769	2757.06109	1417.406034	-0.285136982	0.361951933
ACZ62529.1	ACZ62529.1 reductive dehalogenase [Dehalococcoides sp. VS].	2119.602041	836	307	0.714285714	2912.557143	2291	2883.557317	1866.698439	1005	0.959183673	2999.728063	1890.557438	0.497514056	0.608752423	3078.201439	2179.29874	1005	0.959183673	3201.923945	2299.610039	0.500814371	0.613228941	2444.669354	1628.498481	512	0.816326531	2956.658131	2334.874136	0.185461764	0.293039837	1936.676832	999.3761921	277	0.714285714	2656.531106	1745.282839	-0.305157253	0.272642357	3179.299402	2141.77	986	0.93877551	3375.251078	2384.949515	0.549770762	0.430641004	2190.987891	873.7595497	241	0.673469388	3187.847445	1677.06784	-0.294057413	0.437807002	2841.799724	1462.320491	232	0.693877551	4039.989308	2647.505968	-0.011685473	0.539125414
ACZ62498.1	ACZ62498.1 reductive dehalogenase [Dehalococcoides sp. VS].	4215.5	2631.5	1332	0.93877551	4479.967391	3105	5454.986033	4248.587236	1440	0.979591837	5566.268909	4632.531016	0.26514684	0.433621061	6371.112218	5182.425898	1440	0.979591837	6501.402586	5268.754245	0.437369203	0.392242221	10248.09285	7709.63178	1021	0.959183673	10676.47733	7968.530938	0.900460916	0.340672711	5769.654441	3903.438267	1440	0.979591837	5886.932572	3986.330963	0.287638603	0.270554378	6302.149618	5896.500508	1440	0.979591837	6431.212511	6097.724027	0.382189454	0.433820483	4545.730971	1655.848664	337	0.836734694	5399.532876	2621.463843	-0.376490912	0.552603914	5316.143299	3604.688285	916	0.897959184	5903.871641	4498.55872	0.122198577	0.384001066
ACZ62419.1	ACZ62419.1 reductive dehalogenase [Dehalococcoides sp. VS].	217.2254902	160	21	0.176470588	503.5555556	376	565.1354092	467.76419	897	0.921568627	595.0675695	492.5578975	0.939851008	0.253846671	981.7951954	832.3779004	1149	0.960784314	1012.208244	853.7558123	1.516026665	0.33562455	428.6565101	352.8080841	300	0.62745098	551.9884894	442.7844769	0.604498406	0.284236644	156.7865754	105.4273439	6	0.078431373	556.1729556	510.8662059	-0.423240549	0.343287862	757.731766	630.342162	1261	0.960784314	777.409511	634.2181116	1.228735437	0.346616584	149.68535	88.4688017	8	0.117647059	540.0368637	429.8750097	-0.615700473	0.33351162	131.6129402	71.86196922	10	0.078431373	559.8183318	501.1910128	-0.709071785	0.415652173
ACZ62415.1	ACZ62415.1 reductive dehalogenase [Dehalococcoides sp. VS].	4095.959184	3314	906	0.93877551	4356.478261	3923.5	4863.620675	3855.525611	1280	0.979591837	4962.447188	3893.978908	0.247702011	0.371859701	5611.70902	4827.891084	1280	0.979591837	5724.996608	4857.239236	0.366146883	0.443252812	9335.153627	7007.297014	2401	1	9335.153627	7007.297014	0.847364474	0.390839492	5324.225937	4010.713836	1280	0.979591837	5430.454463	4025.920726	0.221332828	0.27326374	5657.746254	4999.039632	1280	0.979591837	5772.397506	5103.783892	0.355162321	0.417514162	4049.347847	2204.950385	688	0.897959184	4495.252228	3016.792966	-0.41462834	0.439911533	4794.595631	4017.395186	688	0.897959184	5318.08192	4609.062583	0.13242422	0.374044396
ACZ62413.1	ACZ62413.1 reductive dehalogenase [Dehalococcoides sp. VS].	3173.427083	1912.75	1000	0.916666667	3451.079545	2112	3598.932077	2270.751057	543	0.854166667	4186.194202	2528.477558	-0.002730651	0.347557163	3557.099464	2328.259247	607	0.895833333	3956.584684	2453.229848	0.032373865	0.367855071	6422.751833	4666.693697	1037	0.9375	6846.468248	5022.538257	0.747621906	0.47441301	4544.521852	2968.867515	786	0.916666667	4947.345319	3452.421544	0.313797349	0.413263202	4156.090043	3156.549135	749	0.895833333	4624.787162	3590.450331	0.320445762	0.507804771	2665.060575	1170.578328	496	0.833333333	3167.668849	1492.679842	-0.423731271	0.387609137	4650.23356	2565.352786	1037	0.9375	4956.785476	2613.089798	0.290094489	0.244147764
ACZ61341.1	ACZ61341.1 reductive dehalogenase [Dehalococcoides sp. VS].	8857.044444	8276	1096	0.977777778	9057.136364	8329.5	10332.45503	9347.567558	2025	1	10332.45503	9347.567558	0.051754528	0.228701997	9190.496014	8839.428459	2025	1	9190.496014	8839.428459	-0.020101701	0.252421084	9869.810668	8960.708616	2025	1	9869.810668	8960.708616	0.02764641	0.310600984	9053.04126	9197.478811	2025	1	9053.04126	9197.478811	-0.09708526	0.228661278	14819.21107	9573.669161	2025	1	14819.21107	9573.669161	0.018665064	0.358532972	10818.56842	7888.703167	2025	1	10818.56842	7888.703167	-0.142797988	0.27931998	14765.18514	13155.8398	2025	1	14765.18514	13155.8398	0.430069976	0.264832296
ACH87596.1	ACH87596.1 putative reductive dehalogenase RdhA2 [Dehalobacter sp. WL].	1442.166667	1232.5	613	0.972222222	1481.742857	1241	1154.097666	961.7413874	1296	1	1154.097666	961.7413874	-0.281792653	0.18941119	907.8332703	756.7732183	1296	1	907.8332703	756.7732183	-0.530730628	0.217756013	822.5941964	656.7600663	1296	1	822.5941964	656.7600663	-0.676910542	0.202029032	2287.893482	1927.516302	1296	1	2287.893482	1927.516302	0.400291677	0.242573645	394.0203073	276.3504046	50	0.444444444	610.7643307	466.483339	-1.508731237	0.313072851	2491.635702	1791.783014	1296	1	2491.635702	1791.783014	0.451262461	0.628978653	1074.135488	846.3945425	1296	1	1074.135488	846.3945425	-0.462710767	0.272936158
ACH87594.1	"ACH87594.1 putative 1,2-dichloroethane reductive dehalogenase RdhA1 [Dehalobacter sp. WL]."	1310.136364	1123.5	785	0.927272727	1397.460784	1224	950.6617778	883.9639819	526	0.872727273	1065.137997	943.8680167	-0.355218848	0.211951485	710.0989207	617.4453027	511	0.854545455	805.9646644	744.2233876	-0.646293159	0.224651866	669.8126799	585.9800183	515	0.854545455	758.5985914	685.207762	-0.755948525	0.208331629	1964.119972	1878.21085	2340	0.981818182	1998.599609	1903.771485	0.407822096	0.257426638	350.7363355	261.6940704	97	0.418181818	597.7156706	406.8518215	-1.534169882	0.249918505	2567.865844	2085.613584	2340	0.981818182	2613.908424	2114.576037	0.617150858	0.254485134	947.9428967	845.5616198	766	0.909090909	1024.85945	878.2918959	-0.375799249	0.306081797
ACH47983.1	ACH47983.1 tetrachloroethene reductive dehalogenase [Desulfitobacterium sp. enrichment culture clone C1].	1663.791667	1603	144	1	1663.791667	1603	1429.134654	1191.576288	121	0.916666667	1532.898318	1225.715679	-0.366961713	0.253854246	1142.301754	906.7349739	121	0.916666667	1227.524875	936.179168	-0.632342365	0.212251508	1278.174827	842.9447301	50	0.833333333	1500.510674	867.0089317	-0.714898372	0.216879914	2581.481975	2343.003288	144	1	2581.481975	2343.003288	0.326441782	0.135142363	1046.776455	387.6374797	41	0.75	1349.432243	401.2854876	-1.434058639	0.23323727	3506.868371	2943.39115	144	1	3506.868371	2943.39115	0.605120948	0.161154358	1834.48402	1157.316762	144	1	1834.48402	1157.316762	-0.226854731	0.304356952
ABQ16764.1	ABQ16764.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	2571.033333	1270.5	206	0.755555556	3342.779412	2228.75	4120.727653	2901.609908	2025	1	4120.727653	2901.609908	0.887732232	0.690161677	3741.451092	2921.066682	2025	1	3741.451092	2921.066682	0.800561274	0.725312086	3045.975228	2145.876564	494	0.933333333	3252.273222	2171.934722	0.396211423	0.26768298	2494.83733	966.5983748	349	0.777777778	3158.968898	1336.253085	-0.164408514	0.259552978	5451.449358	3168.319618	2025	1	5451.449358	3168.319618	0.913790835	0.602542248	2228.427857	525.8414327	148	0.666666667	3276.299928	1709.327955	-0.62160672	0.386305329	3711.879381	1222.638545	255	0.733333333	5021.553046	2241.401927	0.085985627	0.464619615
ABQ16712.1	ABQ16712.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	357.4607843	250.5	88	0.392156863	639.525	430.5	592.8824572	498.7268293	852	0.901960784	628.8083044	527.2883814	0.647965063	0.378623229	793.5752752	675.6460758	2601	1	793.5752752	675.6460758	1.048301645	0.366144971	397.8288458	284.2996816	82	0.470588235	607.970417	430.7664879	0.209068174	0.235810174	219.9379166	127.9579405	13	0.176470588	664.4206315	678.0484144	-0.569809451	0.29621473	767.2374048	608.2450155	1117	0.960784314	786.7559712	608.5181351	0.908576154	0.387499066	273.0363095	127.929069	17	0.254901961	730.3076429	452.2718688	-0.548453917	0.50174036	257.6485218	112.7576317	19	0.254901961	701.4898945	626.163348	-0.680731079	0.403561221
ABQ16710.1	ABQ16710.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	182.4166667	155.5	7	0.104166667	440.9	357	463.136757	441.4801215	648	0.833333333	507.731658	480.5080118	0.906953609	0.284472722	809.0396972	781.406449	1145	0.979166667	820.7908472	784.2152425	1.521470614	0.308651914	293.7503882	254.3407569	52	0.375	441.4173756	382.1157157	0.456165249	0.238730209	117.8301517	81.39323726	1	0.020833333	1380.262545	1380.262545	-0.630300815	0.182937241	524.7415273	445.9102434	694	0.875	566.8894273	454.6261483	1.00365082	0.32105121	100.8720076	69.01946794	1	0.020833333	1210.522922	1210.522922	-0.820167775	0.207615843	95.97176536	58.606878	1	0.020833333	1232.747532	1232.747532	-0.927907134	0.254965784
