Gene	Annotation	Mean Probe Intensity VS5L64 	Median Probe Intensity VS5L64 	Bright Segment Length Dependent Score VS5L64 	Bright Probe Fraction VS5L64 	Mean Bright Probe Intensity VS5L64 	Median Bright Probe Intensity VS5L64 	Mean Probe Intensity VS5L111 	Median Probe Intensity VS5L111 	Bright Segment Length Dependent Score VS5L111 	Bright Probe Fraction VS5L111 	Mean Bright Probe Intensity VS5L111 	Median Bright Probe Intensity VS5L111 	 VS5L111 / VS5L64 Median	 VS5L111 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L251 	Median Probe Intensity VS5L251 	Bright Segment Length Dependent Score VS5L251 	Bright Probe Fraction VS5L251 	Mean Bright Probe Intensity VS5L251 	Median Bright Probe Intensity VS5L251 	 VS5L251 / VS5L64 Median	 VS5L251 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L477 	Median Probe Intensity VS5L477 	Bright Segment Length Dependent Score VS5L477 	Bright Probe Fraction VS5L477 	Mean Bright Probe Intensity VS5L477 	Median Bright Probe Intensity VS5L477 	 VS5L477 / VS5L64 Median	 VS5L477 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L687 	Median Probe Intensity VS5L687 	Bright Segment Length Dependent Score VS5L687 	Bright Probe Fraction VS5L687 	Mean Bright Probe Intensity VS5L687 	Median Bright Probe Intensity VS5L687 	 VS5L687 / VS5L64 Median	 VS5L687 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L833 	Median Probe Intensity VS5L833 	Bright Segment Length Dependent Score VS5L833 	Bright Probe Fraction VS5L833 	Mean Bright Probe Intensity VS5L833 	Median Bright Probe Intensity VS5L833 	 VS5L833 / VS5L64 Median	 VS5L833 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L973 	Median Probe Intensity VS5L973 	Bright Segment Length Dependent Score VS5L973 	Bright Probe Fraction VS5L973 	Mean Bright Probe Intensity VS5L973 	Median Bright Probe Intensity VS5L973 	 VS5L973 / VS5L64 Median	 VS5L973 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L1071 	Median Probe Intensity VS5L1071 	Bright Segment Length Dependent Score VS5L1071 	Bright Probe Fraction VS5L1071 	Mean Bright Probe Intensity VS5L1071 	Median Bright Probe Intensity VS5L1071 	 VS5L1071 / VS5L64 Median	 VS5L1071 / VS5L64  Median Absolute Deviation
ACZ62415.1	ACZ62415.1 reductive dehalogenase [Dehalococcoides sp. VS].	8377.938776	5765.5	2401	1	8377.938776	5765.5	10655.75516	7554.348684	1280	0.979591837	10871.49943	8095.972663	0.12755442	0.4660979	11272.45435	9544.532472	1280	0.979591837	11498.8073	9831.503633	0.336819679	0.475553787	9508.571691	7841.563895	1280	0.979591837	9699.133798	8108.398778	0.203446145	0.56468748	10339.25714	7806.372669	1280	0.979591837	10549.06457	8065.166456	0.272673661	0.539650597	16790.04713	14663.38636	1154	0.93877551	17860.64498	15433.19654	0.483068854	0.472853697	8970.58044	6330.506467	1177	0.959183673	9333.304047	7079.569474	0.152270435	0.554550785	93288.56479	6196.657362	663	0.87755102	106226.019	15000.08612	-0.26223391	2.285142582
ACZ62492.1	ACZ62492.1 reductive dehalogenase [Dehalococcoides sp. VS].	8271.091837	5219	2401	1	8271.091837	5219	4428.469506	1762.549072	323	0.755102041	5685.182163	4053.800308	-0.809679373	0.669224066	5230.906022	1885.088918	263	0.673469388	7597.563597	3762.931175	-1.016854608	0.890809771	6531.27377	2391.364413	453	0.755102041	8570.592862	5452.867645	-0.56541114	0.931552655	6309.505163	2332.548215	303	0.714285714	8719.754526	5845.715552	-0.53046469	0.870123783	5734.369373	1151.244107	223	0.591836735	9456.271888	2042.081723	-1.802628206	0.811216125	6991.96057	2611.24232	304	0.734693878	9409.673061	6130.235289	-0.57492006	1.034672655	76882.19717	1996.815702	296	0.775510204	98995.30259	3100.765927	-1.292849259	0.840699522
ACZ62498.1	ACZ62498.1 reductive dehalogenase [Dehalococcoides sp. VS].	10335.91837	9058	2401	1	10335.91837	9058	12480.06594	7139.510396	1440	0.979591837	12733.41438	7747.324999	0.082174936	0.397807927	13325.43084	9775.958436	1121	0.959183673	13878.77495	10561.95953	0.087740783	0.595852426	11799.78707	9053.689441	1121	0.959183673	12287.21654	9698.120295	0.059271697	0.514156817	13137.71374	9741.12593	1121	0.959183673	13686.08705	10394.40058	0.171247556	0.582809616	17611.79756	12302.96944	1114	0.93877551	18731.76701	13911.65999	0.397829176	0.458953434	11543.4448	7847.349913	1121	0.959183673	12021.45143	8023.123013	0.067187839	0.519995038	80282.56552	2579.3746	1399	0.918367347	87374.90711	2774.915327	-0.938481216	1.237275844
ACZ62529.1	ACZ62529.1 reductive dehalogenase [Dehalococcoides sp. VS].	7854.938776	6908.5	2401	1	7854.938776	6908.5	9641.402938	7001.830419	1544	0.979591837	9833.510477	7209.019847	-0.102623816	0.590958118	8648.496626	7111.540317	1544	0.979591837	8823.509117	7167.852164	-0.0928795	0.547706512	9953.441492	7780.420792	1544	0.979591837	10156.41806	8431.042757	0.159517652	0.293126496	9927.968809	7708.750252	1544	0.979591837	10128.55444	7760.356235	0.13066402	0.260201124	12365.95883	7424.544302	627	0.918367347	13425.6044	7966.286874	0.015818446	1.456203644	9698.819639	7644.98085	1544	0.979591837	9894.051104	7891.117612	0.113505219	0.2416616	45010.64191	3863.852074	1177	0.959183673	46904.30602	4064.009536	-0.38336474	1.754311964
ADC74673.1	ADC74673.1 reductive dehalogenase [Dehalococcoides sp. GT].	13037.37755	9962.5	2401	1	13037.37755	9962.5	22315.83279	15239.79454	2401	1	22315.83279	15239.79454	0.442308979	0.43566344	25820.33113	20976.56709	2401	1	25820.33113	20976.56709	0.645276187	0.483884014	23900.41981	18788.20166	2401	1	23900.41981	18788.20166	0.609203198	0.449002052	26345.65747	19708.20342	2401	1	26345.65747	19708.20342	0.713916321	0.279264104	27482.96997	20547.25293	2401	1	27482.96997	20547.25293	0.790743439	0.371061998	24249.94784	17277.16446	2401	1	24249.94784	17277.16446	0.649560209	0.275666948	84446.67787	3701.848477	1193	0.918367347	91891.5625	3832.407593	-1.366302505	0.961094284
ADC74702.1	ADC74702.1 reductive dehalogenase [Dehalococcoides sp. GT].	10926.46939	9964.5	2401	1	10926.46939	9964.5	12879.33003	10308.75682	2401	1	12879.33003	10308.75682	-0.026543733	0.394014221	11937.97709	10856.91173	2401	1	11937.97709	10856.91173	-0.023992189	0.417454649	15561.40022	12491.83133	2401	1	15561.40022	12491.83133	0.279114604	0.245433428	15440.90664	13967.00797	2401	1	15440.90664	13967.00797	0.286339907	0.241148734	13071.04051	6091.2325	2304	0.979591837	13328.06245	6420.099512	-0.438312758	1.303825691	16271.55077	12246.70077	2401	1	16271.55077	12246.70077	0.389512161	0.228797714	48412.38055	3715.401326	1325	0.959183673	50441.71397	3777.389961	-1.336898148	0.88737157
AAT48556.1	AAT48556.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	11595.72917	9183.5	2304	1	11595.72917	9183.5	25013.04496	20342.65846	2304	1	25013.04496	20342.65846	0.717996215	0.2891871	28997.49961	26171.07526	2304	1	28997.49961	26171.07526	0.920993757	0.336298557	23448.2349	19321.44807	2304	1	23448.2349	19321.44807	0.739949875	0.338096046	25642.26715	20809.2688	2304	1	25642.26715	20809.2688	0.867975076	0.301521747	33279.76061	29441.6183	2304	1	33279.76061	29441.6183	1.132866766	0.243248752	22096.14367	17807.86244	2304	1	22096.14367	17807.86244	0.677629605	0.313831731	161968.3358	4514.03132	1155	0.9375	172723.2118	6832.764421	-0.881384152	1.601947328
ABA64539.1	ABA64539.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	14283.22917	11586	2304	1	14283.22917	11586	6875.601691	5801.98877	2304	1	6875.601691	5801.98877	-0.601587045	0.50898374	8152.565231	6576.07213	2304	1	8152.565231	6576.07213	-0.572145496	0.405474256	12659.12426	9972.639732	2304	1	12659.12426	9972.639732	-0.037439145	0.481939671	13463.49182	10674.3553	2304	1	13463.49182	10674.3553	0.02259276	0.430094807	7066.686774	3610.617468	936	0.916666667	7667.581395	3799.832889	-1.191771969	0.555090094	14364.53413	11171.89293	2304	1	14364.53413	11171.89293	0.037227481	0.404204099	183007.0926	4097.654026	974	0.958333333	190950.418	5321.049329	-0.870912391	1.557783305
AAT48554.1	AAT48554.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	5515.06383	4721	2209	1	5515.06383	4721	4231.808591	3305.487644	2209	1	4231.808591	3305.487644	-0.309394272	0.190993093	18676.06207	16686.95024	2209	1	18676.06207	16686.95024	1.329784843	0.280358784	10515.80383	9146.151456	2209	1	10515.80383	9146.151456	0.688307034	0.231481067	9155.311118	8068.147655	2209	1	9155.311118	8068.147655	0.585977687	0.328206795	3329.737295	933.932178	322	0.680851064	4666.838865	1154.443155	-1.733288451	0.325400548	11362.02222	10585.38421	2209	1	11362.02222	10585.38421	0.806510094	0.244902281	46233.42831	1862.368168	331	0.744680851	61922.65455	3558.175379	-1.225103593	0.781514606
ACZ62441.1	ACZ62441.1 reductive dehalogenase [Dehalococcoides sp. VS].	15242.40426	13807	2209	1	15242.40426	13807	2534.235161	553.2741631	58	0.382978723	5967.065005	3301.447949	-3.239530805	0.594050422	3458.365763	237.6543229	20	0.255319149	12912.38474	2727.26179	-4.056857154	0.774338042	1216.862583	135.0875136	13	0.191489362	5606.338414	2201.627036	-4.176189073	1.045338063	1098.467266	151.2837432	12	0.170212766	5500.90016	2582.19656	-4.272874961	0.973850918	5304.965582	563.8637218	62	0.425531915	12141.21971	3035.299929	-2.989177239	1.934471237	1269.704733	198.2235034	14	0.212765957	5117.094832	2582.094756	-3.998855735	0.923446108	230325.8889	7592.361596	1130	0.978723404	235323.5256	9780.943649	-0.677919654	1.80613021
AAT48548.1	AAT48548.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	4614.423913	4107.5	2116	1	4614.423913	4107.5	15255.31737	14046.90124	2116	1	15255.31737	14046.90124	1.21455718	0.19188358	29209.02727	27356.70071	2116	1	29209.02727	27356.70071	1.84708938	0.235080122	22576.92541	20962.81099	2116	1	22576.92541	20962.81099	1.569818007	0.240256973	23152.67262	21186.38931	2116	1	23152.67262	21186.38931	1.597672501	0.233522779	21002.75814	19692.41243	2116	1	21002.75814	19692.41243	1.551501916	0.249198426	16088.07344	15018.7762	2116	1	16088.07344	15018.7762	1.217041621	0.165074673	60416.38841	1752.452519	289	0.760869565	79229.40695	5658.078209	-0.800220525	1.413376088
CAI83531.1	CAI83531.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	8589.891304	5903.25	2116	1	8589.891304	5903.25	6696.82648	4370.138796	2116	1	6696.82648	4370.138796	-0.293001148	0.262853111	22017.35717	17400.31373	2116	1	22017.35717	17400.31373	1.12964763	0.409167297	16252.01654	11400.93491	2116	1	16252.01654	11400.93491	0.632960314	0.271640127	14791.79063	9729.793438	2116	1	14791.79063	9729.793438	0.504505306	0.240776139	2483.485968	1313.418794	276	0.739130435	3157.775826	1570.41963	-1.585272361	0.468530654	16735.24367	11582.0108	2116	1	16735.24367	11582.0108	0.671237376	0.221406057	55197.16683	1920.932646	558	0.869565217	63398.56397	2248.595319	-1.417537767	0.805700938
AAW40575.1	"AAW40575.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	6625.533333	5759	2025	1	6625.533333	5759	26660.67306	21418.44718	2025	1	26660.67306	21418.44718	1.326728136	0.292779958	21733.03688	19749.38488	2025	1	21733.03688	19749.38488	1.203151013	0.250703469	18794.02728	16780.98503	2025	1	18794.02728	16780.98503	1.023631249	0.212178536	16406.19299	14511.12604	2025	1	16406.19299	14511.12604	0.893333998	0.14573826	32789.32593	30992.81601	2025	1	32789.32593	30992.81601	1.654548127	0.241891273	13799.42226	12258.38495	2025	1	13799.42226	12258.38495	0.73668824	0.193510452	29148.52491	2156.631323	650	0.933333333	31188.65193	2323.803524	-1.084685381	1.031852981
ABQ16764.1	ABQ16764.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	6291.2	4961	2025	1	6291.2	4961	11785.52468	7701.672363	2025	1	11785.52468	7701.672363	0.409779049	0.38135542	11123.47161	6662.921683	2025	1	11123.47161	6662.921683	0.427016119	0.456483214	14440.40472	10150.16837	2025	1	14440.40472	10150.16837	0.802618001	0.160876132	14594.51232	10931.39613	2025	1	14594.51232	10931.39613	0.871980797	0.140459356	11800.39505	5659.739196	745	0.955555556	12322.50988	6353.748862	0.202982633	0.996817609	13469.45482	10712.03663	2025	1	13469.45482	10712.03663	0.769760695	0.100796237	77521.09962	1808.576142	535	0.866666667	89367.09841	2506.62402	-1.218695372	0.869118485
ACZ61341.1	ACZ61341.1 reductive dehalogenase [Dehalococcoides sp. VS].	6798.777778	5998	2025	1	6798.777778	5998	25272.09856	20138.32126	2025	1	25272.09856	20138.32126	1.270790195	0.263823563	20275.20445	18182.11722	2025	1	20275.20445	18182.11722	1.082407305	0.214567223	17838.38917	16840.659	2025	1	17838.38917	16840.659	0.968287272	0.212714463	15960.86556	14222.81607	2025	1	15960.86556	14222.81607	0.853128255	0.215015434	30396.67533	29639.10874	2025	1	30396.67533	29639.10874	1.566016787	0.360656622	13111.84723	11117.33307	2025	1	13111.84723	11117.33307	0.648515554	0.1497863	103966.3856	1944.129477	1194	0.933333333	111360.2572	2070.221085	-1.117908843	1.021364922
BAG55976.1	BAG55976.1 reductive dehalogenase [uncultured bacterium].	8873.425	7784.5	400	1	8873.425	7784.5	7749.523625	6815.407998	400	1	7749.523625	6815.407998	-0.05617985	0.223656355	8047.038453	7042.10338	400	1	8047.038453	7042.10338	0.003454472	0.325426869	10445.44644	8922.819303	400	1	10445.44644	8922.819303	0.276584356	0.303467624	11596.72291	9269.607213	400	1	11596.72291	9269.607213	0.362645578	0.272299408	12027.41344	8095.253524	181	0.95	12629.05115	8815.352177	0.090745315	0.842699352	10553.76161	9321.343811	400	1	10553.76161	9321.343811	0.245177534	0.297137231	121485.3363	1534.758772	400	1	121485.3363	1534.758772	-1.667966491	0.313791554
ADR80140.1	ADR80140.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	23113.92105	19047	361	1	23113.92105	19047	18022.83199	10587.45625	361	1	18022.83199	10587.45625	-0.293631204	0.442708425	18540.62258	9477.058922	361	1	18540.62258	9477.058922	-0.171281145	0.544120972	27934.84269	11369.02207	361	1	27934.84269	11369.02207	0.286682425	0.44167832	27819.31026	13317.04046	361	1	27819.31026	13317.04046	0.265240457	0.42886373	19470.18968	9997.543021	180	0.947368421	20526.60014	10349.02361	-0.250793722	0.833758077	29068.32438	11430.35936	361	1	29068.32438	11430.35936	0.237858086	0.376428657	118922.8248	6266.45359	180	0.947368421	125505.9186	8006.512899	-0.550065286	1.897484146
ACZ62484.1	ACZ62484.1 reductive dehalogenase associated protein [Dehalococcoides sp. VS].	6550.861111	5799.75	324	1	6550.861111	5799.75	11025.05186	9138.245927	120	0.888888889	12354.90783	10070.15994	0.636886915	0.39727685	11636.51842	12440.98306	60	0.777777778	14871.25512	14536.44545	0.67583552	0.783560653	9763.960389	10990.66461	60	0.777777778	12447.48875	11242.56964	0.456814111	0.734908358	8220.744118	8559.039973	53	0.722222222	11214.35061	9813.899465	0.317043755	0.772712673	21291.82461	18038.24053	130	0.888888889	23908.93799	20423.38962	1.209671863	0.486692876	7875.475023	7126.748681	53	0.722222222	10737.65581	9246.054978	0.249037159	0.656813065	31713.39233	2255.692552	74	0.777777778	40590.66757	2746.005665	-1.261028763	0.943088749
ACZ62362.1	ACZ62362.1 reductive dehalogenase [Dehalococcoides sp. VS].	9536.362745	7949	2218	0.980392157	9716.73	8092.5	4697.254777	1433.638339	360	0.666666667	6840.115513	2899.266812	-1.505787916	0.628082822	3282.892345	1459.55797	360	0.666666667	4776.690281	2769.625059	-1.563948634	0.882544889	4460.518151	2565.960902	458	0.745098039	5929.364886	4073.078372	-1.070310441	0.725785859	4715.580541	2652.913857	458	0.745098039	6269.348869	3768.217807	-1.104078085	0.911638974	4660.077493	1897.873248	230	0.62745098	7216.086504	3225.039594	-1.567605581	1.132979761	5028.662601	2687.861709	458	0.745098039	6665.843583	3995.093094	-1.053235462	0.801154797	91436.15477	2644.334617	871	0.921568627	99168.17045	2720.619927	-1.027660273	1.355397105
ACZ62501.1	ACZ62501.1 reductive dehalogenase [Dehalococcoides sp. VS].	5113.77	4483.75	1745	0.98	5202.663265	4523.5	2894.464627	1532.687725	175	0.66	4178.570094	2476.8793	-1.035394238	0.851774157	3919.522859	2300.762709	143	0.66	5767.008428	3934.893519	-0.909370653	1.194589492	4697.034851	2870.961473	238	0.72	6417.353271	5406.190253	-0.496539246	1.067168053	4476.875595	2478.380137	235	0.7	6275.859751	4697.79367	-0.527284912	1.090447805	3069.22515	877.6931256	120	0.56	5239.290777	2162.334514	-1.694009978	0.82475103	5181.499624	3411.732619	235	0.7	7251.748493	5746.885804	-0.163167035	0.848186035	34867.33694	1613.35474	728	0.84	41446.45333	2128.865065	-1.065592442	1.072567034
ACZ62474.1	ACZ62474.1 reductive dehalogenase [Dehalococcoides sp. VS].	2930.58	2232.25	1213	0.98	2976.265306	2257.5	1636.654985	479.5548803	40	0.36	3913.521383	1074.089573	-1.375422452	0.595370945	1520.619562	749.1697206	77	0.5	2778.241345	1521.479863	-1.191092587	1.217519978	1783.418824	920.246696	96	0.56	3018.120515	2348.151151	-0.932290535	1.567406704	1776.101735	858.9100335	95	0.54	3102.953355	2260.338163	-1.048913542	1.507753164	3195.839093	458.2746577	36	0.36	8354.384128	1316.758499	-1.743713783	1.006559676	1757.285317	802.156678	84	0.52	3115.161328	2336.75557	-1.040161111	1.507178941	38327.56739	1793.516688	144	0.64	59631.42459	14918.90402	-0.744547296	1.475725019
