Gene	Annotation	Mean Probe Intensity Ev5L193 	Median Probe Intensity Ev5L193 	Bright Segment Length Dependent Score Ev5L193 	Bright Probe Fraction Ev5L193 	Mean Bright Probe Intensity Ev5L193 	Median Bright Probe Intensity Ev5L193 	Mean Probe Intensity Ev5L400 	Median Probe Intensity Ev5L400 	Bright Segment Length Dependent Score Ev5L400 	Bright Probe Fraction Ev5L400 	Mean Bright Probe Intensity Ev5L400 	Median Bright Probe Intensity Ev5L400 	 Ev5L400 / Ev5L193 Median	 Ev5L400 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L669 	Median Probe Intensity Ev5L669 	Bright Segment Length Dependent Score Ev5L669 	Bright Probe Fraction Ev5L669 	Mean Bright Probe Intensity Ev5L669 	Median Bright Probe Intensity Ev5L669 	 Ev5L669 / Ev5L193 Median	 Ev5L669 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L863 	Median Probe Intensity Ev5L863 	Bright Segment Length Dependent Score Ev5L863 	Bright Probe Fraction Ev5L863 	Mean Bright Probe Intensity Ev5L863 	Median Bright Probe Intensity Ev5L863 	 Ev5L863 / Ev5L193 Median	 Ev5L863 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1104 	Median Probe Intensity Ev5L1104 	Bright Segment Length Dependent Score Ev5L1104 	Bright Probe Fraction Ev5L1104 	Mean Bright Probe Intensity Ev5L1104 	Median Bright Probe Intensity Ev5L1104 	 Ev5L1104 / Ev5L193 Median	 Ev5L1104 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1283 	Median Probe Intensity Ev5L1283 	Bright Segment Length Dependent Score Ev5L1283 	Bright Probe Fraction Ev5L1283 	Mean Bright Probe Intensity Ev5L1283 	Median Bright Probe Intensity Ev5L1283 	 Ev5L1283 / Ev5L193 Median	 Ev5L1283 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1635 	Median Probe Intensity Ev5L1635 	Bright Segment Length Dependent Score Ev5L1635 	Bright Probe Fraction Ev5L1635 	Mean Bright Probe Intensity Ev5L1635 	Median Bright Probe Intensity Ev5L1635 	 Ev5L1635 / Ev5L193 Median	 Ev5L1635 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1799 	Median Probe Intensity Ev5L1799 	Bright Segment Length Dependent Score Ev5L1799 	Bright Probe Fraction Ev5L1799 	Mean Bright Probe Intensity Ev5L1799 	Median Bright Probe Intensity Ev5L1799 	 Ev5L1799 / Ev5L193 Median	 Ev5L1799 / Ev5L193  Median Absolute Deviation
ABA64547.1	ABA64547.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	3486.265306	2698	2401	1	3486.265306	2698	3570.77739	1954.850978	2401	1	3570.77739	1954.850978	-0.26976569	0.308911486	3672.510254	2639.349387	2401	1	3672.510254	2639.349387	0.033948317	0.13730942	4515.981818	3442.62253	2401	1	4515.981818	3442.62253	0.255598708	0.235214598	4820.260472	3695.610063	2401	1	4820.260472	3695.610063	0.046883314	0.268083913	4750.560378	3458.710534	2401	1	4750.560378	3458.710534	0.29671258	0.17554509	3628.243874	2628.629529	2401	1	3628.243874	2628.629529	0.000898513	0.187772547	7694.883742	6042.543398	2401	1	7694.883742	6042.543398	0.757636587	0.327688298
ADC74673.1	ADC74673.1 reductive dehalogenase [Dehalococcoides sp. GT].	9503.193878	8417	2401	1	9503.193878	8417	10875.93501	7053.400091	2401	1	10875.93501	7053.400091	-0.091987103	0.400449824	11387.42308	9232.242063	2401	1	11387.42308	9232.242063	0.24374095	0.3680926	11813.04532	9949.528473	2401	1	11813.04532	9949.528473	0.274579248	0.333642396	10461.78837	8130.770862	2401	1	10461.78837	8130.770862	0.119334327	0.426235425	9869.393395	7810.197897	2401	1	9869.393395	7810.197897	0.038702029	0.436096322	15002.0756	12917.74696	2401	1	15002.0756	12917.74696	0.486770535	0.419394431	16194.28534	13427.50562	2401	1	16194.28534	13427.50562	0.523037782	0.545352924
ADC74702.1	ADC74702.1 reductive dehalogenase [Dehalococcoides sp. GT].	6942.367347	5069.5	2401	1	6942.367347	5069.5	6995.563144	5947.346092	2401	1	6995.563144	5947.346092	0.101862423	0.264562839	8379.950188	6140.908139	2401	1	8379.950188	6140.908139	0.266191495	0.193200091	8321.446357	6924.113177	2401	1	8321.446357	6924.113177	0.272712332	0.175889594	7659.857042	5834.519952	2401	1	7659.857042	5834.519952	0.088674831	0.209846615	9454.351204	6647.521956	2401	1	9454.351204	6647.521956	0.322302157	0.213244607	8680.515728	6983.747993	2401	1	8680.515728	6983.747993	0.229018874	0.174039839	13531.80158	10288.44194	2401	1	13531.80158	10288.44194	0.7209788	0.243902629
AAT48556.1	AAT48556.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	7028.09375	6156	2304	1	7028.09375	6156	9430.912746	6941.367717	2304	1	9430.912746	6941.367717	0.136333177	0.255281405	10320.77734	8947.953687	2304	1	10320.77734	8947.953687	0.334228434	0.261681623	11077.30368	7245.89367	2304	1	11077.30368	7245.89367	0.265520185	0.260597553	9449.014608	7073.924148	2304	1	9449.014608	7073.924148	0.271178755	0.269778962	7918.676519	6055.32393	2304	1	7918.676519	6055.32393	0.113528369	0.253114117	12471.77557	10700.65401	2304	1	12471.77557	10700.65401	0.607619995	0.334959865	12304.03091	9561.354126	2304	1	12304.03091	9561.354126	0.464156713	0.413227739
ABA64539.1	ABA64539.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	10504.69792	4259	2304	1	10504.69792	4259	28531.67537	9105.58452	2304	1	28531.67537	9105.58452	0.310002391	0.722388721	9989.748138	5707.418944	2304	1	9989.748138	5707.418944	0.288337227	0.386645385	14068.4662	5910.004189	1945	0.979166667	14364.56306	5933.790915	0.342408408	0.286662644	19932.15758	6391.041128	2304	1	19932.15758	6391.041128	0.124935372	0.295349472	16410.49951	6227.594972	2304	1	16410.49951	6227.594972	0.404337424	0.338458414	7263.949864	3897.759661	2304	1	7263.949864	3897.759661	-0.026098666	0.272176131	12616.41032	6127.437695	2304	1	12616.41032	6127.437695	0.519596122	0.429628548
AAT48554.1	AAT48554.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	5334.595745	2769	2209	1	5334.595745	2769	3615.805177	2210.83563	827	0.914893617	3916.369689	2451.08086	-0.488990131	0.257838994	5552.864934	4025.401461	2209	1	5552.864934	4025.401461	0.363628991	0.176337249	6721.400623	5369.333134	2209	1	6721.400623	5369.333134	0.540407952	0.219043653	3424.902055	2197.057107	1186	0.978723404	3490.450409	2269.75706	-0.247772847	0.155825885	4996.563068	3509.130546	2209	1	4996.563068	3509.130546	0.111243515	0.194581578	7667.322032	5539.192333	2209	1	7667.322032	5539.192333	0.635928427	0.297390147	8611.512265	6828.181933	2209	1	8611.512265	6828.181933	0.828943697	0.327118837
BAI70451.1	BAI70451.1 reductive dehalogenase [uncultured bacterium].	11053.10638	4964.5	2209	1	11053.10638	4964.5	9145.347699	3917.444964	1097	0.957446809	9540.438685	3991.808505	-0.148945572	0.341297679	11160.79707	6552.19726	1130	0.978723404	11398.18188	6616.018618	0.240796791	0.391960455	13372.13443	6322.806593	2209	1	13372.13443	6322.806593	0.325546237	0.378332779	8300.057069	4580.795002	1130	0.978723404	8475.75064	4616.93217	-0.014470868	0.364796106	13157.47974	6113.680015	1130	0.978723404	13438.83333	6289.611973	0.246314922	0.419904965	12122.39034	6292.630392	1130	0.978723404	12377.13943	6295.856062	0.281653241	0.380343701	16670.31858	7847.043376	2209	1	16670.31858	7847.043376	0.468022643	0.451486157
AAT48548.1	AAT48548.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	3538.413043	3148.25	2116	1	3538.413043	3148.25	2744.427078	2370.252023	1697	0.97826087	2794.800947	2402.060879	-0.302009488	0.304862261	4585.608775	4101.883628	2116	1	4585.608775	4101.883628	0.252957547	0.141760506	4193.010417	3649.07809	2116	1	4193.010417	3649.07809	0.107230291	0.144814678	3081.932732	2696.292548	2116	1	3081.932732	2696.292548	-0.16680509	0.179954535	3784.367606	2473.699525	2116	1	3784.367606	2473.699525	-0.24850397	0.170322064	7925.611184	6803.383705	2116	1	7925.611184	6803.383705	0.780610909	0.15798888	7293.841547	6616.583284	2116	1	7293.841547	6616.583284	0.717275623	0.259218936
CAI83531.1	CAI83531.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	4366.815217	3549	2116	1	4366.815217	3549	5082.252869	2563.029731	1773	0.97826087	5187.160212	2717.914799	-0.385123652	0.210929625	6195.154067	5299.883463	2116	1	6195.154067	5299.883463	0.373074493	0.216024584	7303.32494	6057.137362	2116	1	7303.32494	6057.137362	0.513567097	0.198747057	3946.214388	3025.56055	2116	1	3946.214388	3025.56055	-0.2038547	0.162186601	5686.822078	4135.551223	2116	1	5686.822078	4135.551223	0.185503848	0.164021134	7537.50509	5970.896306	2116	1	7537.50509	5970.896306	0.560928471	0.190575945	9452.868777	7926.254674	2116	1	9452.868777	7926.254674	0.802477996	0.372239772
AAW40575.1	"AAW40575.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	3439.022222	2776	2025	1	3439.022222	2776	4312.822919	3596.294064	2025	1	4312.822919	3596.294064	0.278177504	0.195777169	4223.397639	3718.787579	2025	1	4223.397639	3718.787579	0.369831936	0.15567826	4336.550859	3534.840842	2025	1	4336.550859	3534.840842	0.431618536	0.16538168	5867.736215	5019.040496	2025	1	5867.736215	5019.040496	0.630309139	0.260743204	4874.910331	4046.502355	2025	1	4874.910331	4046.502355	0.48154193	0.202167523	5493.033288	5052.4424	2025	1	5493.033288	5052.4424	0.633699791	0.250913407	8212.612845	7644.622262	2025	1	8212.612845	7644.622262	0.940691293	0.519464408
ABQ16764.1	ABQ16764.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	3208.766667	2535.5	2025	1	3208.766667	2535.5	3518.596629	2110.063717	1480	0.977777778	3588.083313	2185.937235	-0.186847453	0.320542679	4284.952091	3427.001886	2025	1	4284.952091	3427.001886	0.364741545	0.160923647	4927.849259	3952.585138	2025	1	4927.849259	3952.585138	0.523268359	0.259953311	5768.796445	3184.244979	2025	1	5768.796445	3184.244979	0.354239141	0.250445354	5123.414305	3972.607317	2025	1	5123.414305	3972.607317	0.536996696	0.194600037	4758.453506	3758.518465	2025	1	4758.453506	3758.518465	0.460584758	0.234249133	9284.445943	8515.641171	2025	1	9284.445943	8515.641171	1.138222591	0.357804318
ACZ61341.1	ACZ61341.1 reductive dehalogenase [Dehalococcoides sp. VS].	3359.7	2618	2025	1	3359.7	2618	4024.75844	3386.169667	2025	1	4024.75844	3386.169667	0.241489065	0.187503942	4111.495361	3761.944768	2025	1	4111.495361	3761.944768	0.344131593	0.193850804	4270.158684	3536.152511	2025	1	4270.158684	3536.152511	0.380924018	0.238507407	5715.949718	4812.028493	2025	1	5715.949718	4812.028493	0.569801996	0.185910738	4692.435492	4234.401764	2025	1	4692.435492	4234.401764	0.38843869	0.207404541	5239.502367	4763.735412	2025	1	5239.502367	4763.735412	0.601282339	0.256669855	7604.743182	6999.795399	2025	1	7604.743182	6999.795399	0.94555504	0.413149729
BAG55976.1	BAG55976.1 reductive dehalogenase [uncultured bacterium].	6561.225	5943.5	400	1	6561.225	5943.5	4668.607036	3344.679717	400	1	4668.607036	3344.679717	-0.295424502	0.380738863	6461.495186	5849.038581	400	1	6461.495186	5849.038581	0.083159727	0.346223875	15992.13205	6445.785835	400	1	15992.13205	6445.785835	0.247941967	0.320250937	4847.33766	4195.077242	400	1	4847.33766	4195.077242	-0.17379617	0.323660169	6192.582048	5680.864086	400	1	6192.582048	5680.864086	0.089340718	0.273251361	6605.773688	5996.689257	400	1	6605.773688	5996.689257	0.123728158	0.407308796	7537.242408	7357.1795	400	1	7537.242408	7357.1795	0.122536427	0.692514334
ADR80140.1	ADR80140.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	23584.81579	10068.5	361	1	23584.81579	10068.5	23953.2214	7329.472016	361	1	23953.2214	7329.472016	-0.043352661	0.637105472	28653.70671	13957.05985	361	1	28653.70671	13957.05985	0.053588845	0.394923092	38244.82961	19419.28945	324	0.947368421	40353.56436	31351.02611	0.275815797	1.023951287	18702.89422	9304.080411	361	1	18702.89422	9304.080411	-0.203125946	0.69012832	32575.3976	13767.6098	361	1	32575.3976	13767.6098	0.152219346	0.503877561	26995.82512	14090.93519	361	1	26995.82512	14090.93519	0.108446552	0.440815725	36493.84251	18036.68553	361	1	36493.84251	18036.68553	0.519326783	0.636975106
ADC74651.1	ADC74651.1 reductive dehalogenase [Dehalococcoides sp. GT].	7012.46	2276.25	1213	0.98	7148.132653	2316	5139.067505	2379.24909	1034	0.96	5338.557697	2478.906795	-0.019701912	0.400198741	17385.84645	4500.754178	2500	1	17385.84645	4500.754178	0.631317109	0.171407627	19340.63505	9706.918817	2500	1	19340.63505	9706.918817	1.181273553	0.658452068	16560.68401	4126.980136	1213	0.98	16889.81357	4160.559019	0.325215635	0.362365973	7262.240623	5727.303223	2500	1	7262.240623	5727.303223	0.856186506	0.270161006	7910.924164	4869.877548	2500	1	7910.924164	4869.877548	0.697077241	0.368386438	10427.7759	6263.86534	2500	1	10427.7759	6263.86534	0.993118547	0.510949373
ACZ62529.1	ACZ62529.1 reductive dehalogenase [Dehalococcoides sp. VS].	4466.010204	3362.5	1544	0.979591837	4555.947917	3415	4310.645145	3609.082496	1525	0.959183673	4480.170501	3674.830739	0.022117833	0.356343172	4898.700707	3878.920718	1544	0.979591837	4996.487526	4037.645867	0.183047705	0.275453371	5025.838553	4608.166886	1544	0.979591837	5125.960789	4622.71422	0.24700186	0.211342372	4756.844171	3362.111249	1005	0.959183673	4945.800565	3425.409085	0.099881625	0.263528737	5610.369282	4313.234716	1544	0.979591837	5722.544302	4371.137162	0.290730551	0.211499694	5628.740057	4418.62796	1544	0.979591837	5738.649411	4617.616526	0.288259398	0.213543448	7662.388118	5694.384631	1544	0.979591837	7815.706426	5783.654332	0.568182065	0.42233673
2013897169	>2013897169 DCKB1\_107470 reductive dehalogenase 32149..33621(-) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	5323.795918	2555	1490	0.979591837	5428.572917	2558	2334.242302	1788.18333	1451	0.959183673	2419.948538	1834.998031	-0.429269305	0.271320932	3689.985704	3159.591229	2401	1	3689.985704	3159.591229	0.183342637	0.24468712	3844.248255	3567.028859	1490	0.979591837	3914.275781	3576.308028	0.324915283	0.222523409	3044.979266	2506.367435	1490	0.979591837	3102.969813	2506.840548	-0.096091783	0.201527336	4802.802404	3490.911828	1490	0.979591837	4893.4446	3507.604027	0.300495339	0.189560738	3630.678369	2655.855406	2401	1	3630.678369	2655.855406	0.033639404	0.210838239	7948.586976	5717.452481	2401	1	7948.586976	5717.452481	0.715337011	0.440472497
ACZ62535.1	ACZ62535.1 reductive dehalogenase [Dehalococcoides sp. VS].	5911.115385	3389.75	1102	0.961538462	6141.03	3782.25	7093.007758	2491.079944	435	0.903846154	7817.89881	3051.842953	-0.117714781	0.441642296	6600.254054	3758.392903	781	0.942307692	6984.707735	3936.258752	0.283455751	0.226081981	6675.981288	4003.173654	1325	0.980769231	6805.243508	4024.952417	0.272417218	0.394507079	5434.487886	2974.796715	781	0.942307692	5750.589674	3039.601933	-0.03371944	0.400817885	7626.753678	3763.509244	781	0.942307692	8076.774451	4072.910195	0.180601918	0.44230721	6370.526757	3615.669055	1325	0.980769231	6493.638206	3670.323747	0.357545751	0.370512058	7152.292811	5308.726626	1242	0.961538462	7429.927734	5559.862646	0.560958316	0.548589465
ADC74655.1	ADC74655.1 reductive dehalogenase [Dehalococcoides sp. GT].	4094.61	2194.5	2304	0.96	4249.46875	2297	3320.144879	1139.464582	430	0.84	3881.604116	1335.795675	-0.529830504	0.595993711	2194.079289	1197.174779	2304	0.96	2267.800754	1226.687512	-0.319338522	0.682893041	4498.176531	1083.095754	2305	0.98	4582.180539	1088.258372	-0.307334717	0.522639781	1139.015244	816.3814922	513	0.78	1358.808446	998.5558724	-0.820443151	0.564604261	1604.257888	1077.402405	1941	0.94	1680.452065	1110.334118	-0.383180848	0.729762901	2520.775081	2181.246009	2500	1	2520.775081	2181.246009	0.011166329	1.027052612	7327.177041	6671.724124	2500	1	7327.177041	6671.724124	1.149535939	1.224134855
ACZ62498.1	ACZ62498.1 reductive dehalogenase [Dehalococcoides sp. VS].	4967.122449	4301	1121	0.959183673	5171.148936	4511	5369.496225	3380.31456	996	0.857142857	6213.396384	4335.020358	-0.136769118	0.455219867	5721.644817	3926.984663	1121	0.959183673	5955.028071	4557.597689	0.211836308	0.32148695	5904.212534	4357.841676	1121	0.959183673	6143.469579	4832.819652	0.214237464	0.367251672	5447.650717	4413.748669	1121	0.959183673	5671.737666	4414.875457	0.049949163	0.340518098	4564.054488	3820.300999	1121	0.959183673	4750.379123	3886.083396	-0.080893206	0.432808367	6787.53914	5298.542757	1440	0.979591837	6925.899115	5404.707129	0.468422522	0.424041246	7020.871988	4882.560659	1440	0.979591837	7164.017475	4904.471007	0.443255532	0.718462979
ADC74693.1	ADC74693.1 reductive dehalogenase [Dehalococcoides sp. GT].	2286.797872	1692	1697	0.957446809	2371.288889	1848	1972.499157	1231.630036	383	0.70212766	2675.04484	2161.843863	-0.394215786	0.794979653	2192.203727	1576.233988	2209	1	2192.203727	1576.233988	-0.089702519	0.301975763	1907.093921	1309.712748	1396	0.978723404	1938.406096	1375.150876	-0.303920925	0.302717084	1967.206784	1267.541957	396	0.765957447	2447.733175	1923.976659	-0.457620289	0.540421074	2204.042151	1449.411582	1275	0.957446809	2281.922168	1478.195248	-0.234894697	0.555931842	3334.238032	2986.117881	2209	1	3334.238032	2986.117881	0.379502659	0.360502469	6528.491466	6094.634145	2209	1	6528.491466	6094.634145	1.066379861	0.654624258
