Gene	Annotation	Mean Probe Intensity VS2L242 	Median Probe Intensity VS2L242 	Bright Segment Length Dependent Score VS2L242 	Bright Probe Fraction VS2L242 	Mean Bright Probe Intensity VS2L242 	Median Bright Probe Intensity VS2L242 	Mean Probe Intensity VS2L295 	Median Probe Intensity VS2L295 	Bright Segment Length Dependent Score VS2L295 	Bright Probe Fraction VS2L295 	Mean Bright Probe Intensity VS2L295 	Median Bright Probe Intensity VS2L295 	 VS2L295 / VS2L242 Median	 VS2L295 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L605 	Median Probe Intensity VS2L605 	Bright Segment Length Dependent Score VS2L605 	Bright Probe Fraction VS2L605 	Mean Bright Probe Intensity VS2L605 	Median Bright Probe Intensity VS2L605 	 VS2L605 / VS2L242 Median	 VS2L605 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L675 	Median Probe Intensity VS2L675 	Bright Segment Length Dependent Score VS2L675 	Bright Probe Fraction VS2L675 	Mean Bright Probe Intensity VS2L675 	Median Bright Probe Intensity VS2L675 	 VS2L675 / VS2L242 Median	 VS2L675 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L925 	Median Probe Intensity VS2L925 	Bright Segment Length Dependent Score VS2L925 	Bright Probe Fraction VS2L925 	Mean Bright Probe Intensity VS2L925 	Median Bright Probe Intensity VS2L925 	 VS2L925 / VS2L242 Median	 VS2L925 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L1041 	Median Probe Intensity VS2L1041 	Bright Segment Length Dependent Score VS2L1041 	Bright Probe Fraction VS2L1041 	Mean Bright Probe Intensity VS2L1041 	Median Bright Probe Intensity VS2L1041 	 VS2L1041 / VS2L242 Median	 VS2L1041 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L1425 	Median Probe Intensity VS2L1425 	Bright Segment Length Dependent Score VS2L1425 	Bright Probe Fraction VS2L1425 	Mean Bright Probe Intensity VS2L1425 	Median Bright Probe Intensity VS2L1425 	 VS2L1425 / VS2L242 Median	 VS2L1425 / VS2L242  Median Absolute Deviation
BAF34982.1	BAF34982.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	3440.185185	3350	843	0.907407407	3777.316327	3611	4390.207053	4249.135166	939	0.944444444	4643.48145	4489.089065	0.263396767	0.141161901	5016.763767	5225.387723	939	0.944444444	5308.013337	5305.559183	0.253160687	0.190280622	3955.456324	3935.010167	939	0.944444444	4184.367086	3981.555987	0.078873006	0.194282578	2396.927509	2086.06992	875	0.907407407	2629.116815	2270.02398	-0.471105171	0.194412467	2787.364434	2365.283046	906	0.925925926	3000.800111	2427.52993	-0.27412276	0.171937139	3086.616229	2715.357053	906	0.925925926	3321.827497	2807.86686	-0.259011108	0.252031471
BAE82944.1	BAE82944.1 probable chlorophenol reductive dehalogenase [Desulfitobacterium hafniense Y51].	7228.984848	6269	1089	1	7228.984848	6269	5229.45602	4331.168534	1089	1	5229.45602	4331.168534	-0.301173956	0.165979478	1891.839869	1442.979119	1089	1	1891.839869	1442.979119	-1.455748067	0.165282585	2412.379543	1923.436306	1089	1	2412.379543	1923.436306	-1.242712217	0.160821489	11596.12417	9760.777945	1089	1	11596.12417	9760.777945	0.437128009	0.126118469	12844.49379	10822.93532	1089	1	12844.49379	10822.93532	0.519653272	0.129966055	8010.787426	6899.321583	1089	1	8010.787426	6899.321583	0.058945724	0.144432199
ADR80140.1	ADR80140.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	3383.131579	1974	97	0.894736842	3750.5	2469.5	3183.644064	2436.172507	97	0.894736842	3527.825156	2654.991441	0.034164182	0.261237145	8418.645683	5711.42762	194	0.947368421	8864.349051	5827.50694	0.85499876	0.411059132	5979.700582	4296.249189	361	1	5979.700582	4296.249189	0.573636825	0.250818654	2876.40119	2390.446299	74	0.842105263	3352.591636	2604.078618	-0.166353014	0.400565052	3473.549486	1964.033813	78	0.842105263	4090.775039	2179.829797	-0.19415516	0.263624767	4497.920904	2743.198027	97	0.894736842	4999.002447	3466.93293	0.025971734	0.419088755
ADR00316.1	ADR00316.1 TceA protein [Dehalococcoides sp. enrichment culture SL2 clone SL2-DCE-G1].	4256.833333	4367.5	576	1	4256.833333	4367.5	5172.611204	5384.115186	576	1	5172.611204	5384.115186	0.22624064	0.127736268	5315.672555	5557.915133	576	1	5315.672555	5557.915133	0.230614559	0.227860546	4447.951044	4402.163384	576	1	4447.951044	4402.163384	0.044712883	0.172897642	2844.172217	2768.773043	576	1	2844.172217	2768.773043	-0.453575798	0.147558478	3310.766969	3213.063156	576	1	3310.766969	3213.063156	-0.240447272	0.111941823	3746.656191	3215.043101	576	1	3746.656191	3215.043101	-0.184579251	0.222767175
ADC74708.1	ADC74708.1 reductive dehalogenase [Dehalococcoides sp. GT].	3152.71	2283.75	1874	0.96	3277.9375	2372.5	3256.736747	2280.601292	1961	0.98	3316.996509	2292.451964	0.127818624	0.160214308	6262.876679	4972.485217	1961	0.98	6384.60762	5344.378837	0.601983694	0.385074041	5867.97427	4353.578137	2500	1	5867.97427	4353.578137	0.763362445	0.35998348	3300.233203	2163.646901	1874	0.96	3425.134173	2215.281912	0.118038338	0.23882509	2874.622161	1716.153476	275	0.82	3445.180162	2269.934173	-0.185790893	0.278347642	4332.635123	2504.784957	909	0.94	4588.541326	2947.203792	0.07353397	0.321096028
ADC74702.1	ADC74702.1 reductive dehalogenase [Dehalococcoides sp. GT].	2352.591837	1178	785	0.959183673	2439.12766	1498	2724.018373	1320.606874	658	0.93877551	2887.205297	1935.026135	0.084229825	0.184594298	4255.675136	2255.804794	1544	0.979591837	4335.459026	2372.918419	0.272209006	0.213660405	4204.749492	3041.61749	2401	1	4204.749492	3041.61749	0.694000145	0.322192694	2461.464339	1429.256053	785	0.959183673	2554.584749	1719.309636	0.007693896	0.183962573	1954.507739	853.6076817	224	0.693877551	2694.478235	2319.37525	-0.359586381	0.316074417	6380.110423	2041.203867	609	0.918367347	6916.565873	3203.44773	0.028931545	0.258020526
ADC74676.1	ADC74676.1 reductive dehalogenase [Dehalococcoides sp. GT].	1089.24	753.5	511	0.9	1171.588889	844.5	1198.875411	768.4490161	504	0.88	1311.967481	808.7566774	0.01188444	0.092565209	1697.423846	1067.17174	964	0.92	1812.900357	1077.702978	0.25185226	0.193038197	2896.587628	2364.255863	1961	0.98	2948.584259	2367.061009	1.04555392	0.296988875	1413.430255	907.2934154	467	0.82	1643.326896	1086.014287	0.150895652	0.17274643	684.8900339	397.5328761	82	0.44	1218.848336	832.9207576	-0.715778959	0.265648549	1270.496474	720.4689039	301	0.74	1600.855869	965.6903821	-0.153416816	0.342563103
ADC74673.1	ADC74673.1 reductive dehalogenase [Dehalococcoides sp. GT].	6541.969388	6073.5	1160	0.979591837	6677.197917	6160.75	7830.3368	7605.438671	2401	1	7830.3368	7605.438671	0.175175059	0.135249301	8962.220436	8872.795668	2401	1	8962.220436	8872.795668	0.314374154	0.154434405	10293.67278	10025.05722	2401	1	10293.67278	10025.05722	0.445719067	0.223900205	5855.820339	4688.152059	821	0.959183673	6090.508861	4821.930779	-0.224999304	0.150229179	3465.65401	2476.567037	558	0.93877551	3675.471268	2822.606672	-0.833191711	0.306414894	5134.299625	3462.151501	1160	0.979591837	5236.593439	3537.879104	-0.464746694	0.451654282
ADC74662.1	ADC74662.1 reductive dehalogenase [Dehalococcoides sp. GT].	1317.479592	253	46	0.367346939	3317.666667	1710	1759.857774	305.3110688	51	0.428571429	3919.333442	1238.960601	0.068273108	0.207924082	2691.247678	815.9186127	397	0.795918367	3312.042783	1159.023934	1.239465174	0.720418868	2894.392321	1666.670782	1377	0.918367347	3128.478472	1698.623815	1.833516553	1.045671363	2097.907054	637.2852813	180	0.653061224	3078.702908	1236.758978	0.86507918	0.559153592	1939.118597	361.7526726	56	0.448979592	4118.657101	1827.066094	0.301554688	0.244299608	2701.024884	567.6482714	154	0.612244898	4261.124622	1441.702962	0.879080238	0.51226114
ADC74658.1	ADC74658.1 reductive dehalogenase [Dehalococcoides sp. GT].	203	94.25	8	0.12	880.6666667	775	217.3002658	95.58337353	8	0.12	1042.976936	1016.137881	-0.033011012	0.119102045	767.4206285	508.1063869	289	0.66	989.3786841	646.4677371	1.59966488	0.47185822	1582.64747	1355.58931	2034	0.96	1635.621494	1379.86959	2.537161837	0.675824358	575.8523316	413.3287096	123	0.5	893.7826353	640.045775	1.291729856	0.438134995	290.8166445	128.3870656	11	0.14	1301.155103	1255.846641	0.204021868	0.160423902	3191.039508	443.133963	230	0.56	5531.279933	1969.426938	1.179617735	0.660842344
ADC74655.1	ADC74655.1 reductive dehalogenase [Dehalococcoides sp. GT].	522.8	434	108	0.52	723.8461538	556.5	350.9237069	280.4662819	47	0.3	604.2081014	581.9048624	-0.402614207	0.14808511	672.6860496	484.3586829	170	0.6	929.514376	634.0902992	0.027892869	0.312773409	1038.907332	917.9021028	2401	0.98	1052.213762	920.9350577	0.701130719	0.191206048	588.8445966	404.2088863	87	0.42	1012.834928	686.2260653	-0.116313568	0.29825466	304.5979313	198.8981374	17	0.18	826.9169687	771.6038841	-0.787292503	0.282631052	540.7443824	367.1045683	120	0.4	971.66946	818.0697127	-0.233937772	0.49358778
ADC74651.1	ADC74651.1 reductive dehalogenase [Dehalococcoides sp. GT].	791.74	565.75	619	0.74	966.7567568	775	577.3744339	511.019576	333	0.62	743.1514885	619.7599206	-0.079161061	0.286344874	1365.856387	1079.349155	989	0.9	1481.625842	1097.684604	0.590034066	0.425842102	2179.384502	1872.372486	2041	0.98	2216.060613	1924.005559	1.194180592	0.365988425	916.1473195	746.2622266	706	0.84	1037.790233	841.2515798	0.30955733	0.344117	395.5077794	287.9974923	19	0.26	826.7246455	697.0186446	-0.689792547	0.531733582	866.9782301	643.02772	527	0.78	1040.218043	737.3522862	0.061187929	0.638680443
ADC74627.1	ADC74627.1 reductive dehalogenase [Dehalococcoides sp. GT].	499.3469388	335.5	107	0.387755102	1001.394737	900.5	489.9917663	326.9853949	40	0.285714286	1170.900667	901.6334569	-0.090614014	0.25654388	745.2829322	519.2751904	144	0.653061224	969.519406	648.2094696	0.474086265	1.21181458	1320.527998	1046.626709	974	0.93877551	1389.927079	1093.12054	0.962411665	1.207679318	571.9145757	369.9623375	82	0.448979592	939.7672806	593.3787863	0.318490563	0.959076386	372.5106108	204.831453	9	0.142857143	1470.433253	875.7848338	-0.226669446	0.810073333	571.0440558	375.3397081	53	0.428571429	965.4610663	685.1091074	0.16493364	1.169682235
ADC74550.1	ADC74550.1 reductive dehalogenase [Dehalococcoides sp. GT].	457.755102	101.5	14	0.163265306	2218.625	1345.75	499.8810419	94.48057161	14	0.163265306	2457.412464	1229.496023	-0.023354055	0.107993351	1776.50796	514.8902395	197	0.632653061	2640.983289	629.8686983	1.367841614	0.510706182	1789.981983	1049.460375	1224	0.979591837	1820.343659	1063.237917	2.003294297	0.722734997	1074.086928	299.4679854	19	0.224489796	3906.031762	1143.486787	0.797599403	0.323065703	804.3841578	177.6814943	19	0.224489796	3037.346501	1052.728672	0.403651975	0.239872114	3103.922612	348.1140986	44	0.367346939	8033.530913	772.9538512	0.995922757	0.484951616
ADC74548.1	ADC74548.1 reductive dehalogenase [Dehalococcoides sp. GT].	997.5612245	334	78	0.448979592	1957	819	1055.258671	398.753426	95	0.469387755	1978.992936	854.2655152	0.059691555	0.240246958	3003.050446	966.9926979	1691	0.918367347	3239.886459	1094.539218	0.910021204	0.602447775	3934.734367	1914.629543	1952	0.979591837	4009.263591	1963.458238	1.619061413	0.533718927	2260.700798	715.3588574	258	0.693877551	3105.360839	1087.415067	0.763383021	0.462444619	1414.389342	251.0185687	65	0.387755102	3344.402964	1007.919959	-0.208322429	0.533678926	12983.75492	1075.783409	541	0.795918367	16226.30682	1798.075525	0.948365413	0.944904727
ACZ62535.1	ACZ62535.1 reductive dehalogenase [Dehalococcoides sp. VS].	2771.028846	1649	571	0.865384615	3164.5	1874.5	3160.156787	2192.127569	587	0.865384615	3615.254635	2557.680351	0.147105144	0.212561409	4864.199633	3147.180748	637	0.903846154	5359.203765	3589.040876	0.413415598	0.314999033	4444.473521	2813.9714	741	0.942307692	4704.476094	3141.464818	0.441034563	0.290195426	2540.191315	1358.38419	531	0.826923077	3024.054482	1730.377131	-0.093413827	0.264123341	2744.285143	1491.08009	400	0.846153846	3209.407959	1831.612316	-0.123893278	0.247398995	3692.252817	1732.225412	531	0.826923077	4416.92316	2252.066006	-0.005458851	0.373979846
ACZ62529.1	ACZ62529.1 reductive dehalogenase [Dehalococcoides sp. VS].	2465.561224	1622	291	0.795918367	3029.474359	2464.5	2823.129456	2187.08851	527	0.836734694	3326.431726	2558.060117	0.122805438	0.152868117	3847.136901	2326.927859	530	0.857142857	4454.34157	2848.575603	0.237862202	0.197730229	3506.915074	2962.501162	986	0.93877551	3724.377939	3117.253395	0.396859332	0.354637805	2377.842089	1331.695906	294	0.816326531	2864.411215	1960.390554	-0.089353732	0.240404254	2183.169435	1367.686792	282	0.734693878	2900.645577	2096.441085	-0.217256643	0.212881905	4949.733156	1775.33635	281	0.755102041	6470.237129	3912.932824	-0.05563367	0.273661257
ACZ62498.1	ACZ62498.1 reductive dehalogenase [Dehalococcoides sp. VS].	3805.316327	3453	923	0.918367347	4119.611111	3630	4422.955509	3787.84583	923	0.918367347	4789.375017	3931.124412	0.168043664	0.161099737	6043.241564	5156.45935	1042	0.93877551	6419.398572	5965.195304	0.351017523	0.198052611	7077.010134	5922.971207	1042	0.93877551	7523.269902	6103.634725	0.462578555	0.222536764	3248.551287	2494.772042	468	0.857142857	3743.621589	3105.421411	-0.30939379	0.209803488	2385.011276	2000.286928	605	0.918367347	2572.64525	2028.232904	-0.507503095	0.449412683	4556.085128	2626.704081	452	0.857142857	5263.722998	3012.842984	-0.185699293	0.449215556
ACZ62415.1	ACZ62415.1 reductive dehalogenase [Dehalococcoides sp. VS].	3588.918367	2975	1085	0.918367347	3887.711111	3604	4261.669479	3741.428572	1154	0.93877551	4514.194186	4333.679512	0.197190165	0.148002645	6126.920021	5262.301459	1161	0.959183673	6377.426912	5310.94281	0.33118195	0.172680623	6750.537892	5414.972237	1161	0.959183673	7028.800336	5471.329256	0.405648204	0.194042145	2987.74949	2493.565403	912	0.897959184	3297.791233	2658.631578	-0.33398184	0.191032417	2327.77509	1705.624441	1085	0.918367347	2511.845679	1829.619505	-0.467513264	0.566532624	4133.149888	2162.534278	602	0.897959184	4570.019007	2368.267776	-0.295779429	0.417379129
ACZ62413.1	ACZ62413.1 reductive dehalogenase [Dehalococcoides sp. VS].	2577.770833	1696	480	0.875	2922.345238	2184.5	3733.369257	2831.424812	587	0.895833333	4148.531801	2966.363996	0.48702311	0.293999319	3787.631968	2650.109996	786	0.916666667	4120.468779	2889.607933	0.35265543	0.144278884	3617.586009	2594.899366	480	0.875	4103.333698	2905.974944	0.267355275	0.192839993	1963.271803	1179.317148	377	0.8125	2380.055985	1450.427071	-0.366361406	0.237650644	1252.356804	903.1961409	329	0.770833333	1558.451848	1138.906195	-0.710796852	0.204141444	1752.610787	730.1069157	201	0.6875	2447.295242	1059.940879	-0.9156407	0.19700801
ACZ61341.1	ACZ61341.1 reductive dehalogenase [Dehalococcoides sp. VS].	5091.655556	5165	2025	1	5091.655556	5165	7610.682046	7652.496311	2025	1	7610.682046	7652.496311	0.384388017	0.098404527	8659.866034	8955.260067	2025	1	8659.866034	8955.260067	0.505163465	0.185984888	8026.755485	8490.234449	2025	1	8026.755485	8490.234449	0.446670772	0.151722075	6322.337139	6222.267421	2025	1	6322.337139	6222.267421	0.167485376	0.113308325	6819.415858	6553.857244	2025	1	6819.415858	6553.857244	0.286409219	0.09282943	8763.386628	5869.539501	2025	1	8763.386628	5869.539501	0.131735105	0.184867035
ACH87596.1	ACH87596.1 putative reductive dehalogenase RdhA2 [Dehalobacter sp. WL].	4506.166667	4220.75	1296	1	4506.166667	4220.75	1989.133709	1906.664967	1296	1	1989.133709	1906.664967	-0.817163187	0.116529904	590.1564739	509.0437468	72	0.611111111	760.4356031	593.5874153	-2.14115597	0.166128743	825.2178538	804.1074396	377	0.861111111	895.3964616	812.9182317	-1.712797169	0.134753901	3814.122787	3278.060548	1296	1	3814.122787	3278.060548	-0.211966264	0.136935939	4475.447641	3962.75293	1296	1	4475.447641	3962.75293	-0.030315754	0.120032178	2585.587769	2410.412877	1296	1	2585.587769	2410.412877	-0.594317568	0.160901887
ACH87594.1	"ACH87594.1 putative 1,2-dichloroethane reductive dehalogenase RdhA1 [Dehalobacter sp. WL]."	3442.027273	3102	1361	0.963636364	3564.160377	3107.5	1683.80852	1559.342211	1561	0.963636364	1737.089649	1638.793017	-0.701778994	0.143230987	536.336504	433.4437441	96	0.509090909	780.2502317	665.4631008	-2.026375178	0.303980654	809.8883683	677.4509705	264	0.727272727	1003.160641	818.4072419	-1.639423382	0.173374051	3049.49334	2584.35475	2340	0.981818182	3104.340058	2595.401968	-0.197397801	0.156100079	3559.242707	2985.987549	2340	0.981818182	3623.024232	3019.154544	0.020889913	0.14228398	2120.46057	1737.316308	1561	0.963636364	2191.758233	1882.806802	-0.54378083	0.17100599
ACH47983.1	ACH47983.1 tetrachloroethene reductive dehalogenase [Desulfitobacterium sp. enrichment culture clone C1].	4189.041667	4433.75	65	0.916666667	4560.318182	4485	2134.647938	2004.882977	144	1	2134.647938	2004.882977	-0.692847468	0.138256575	1065.755074	518.8535486	25	0.583333333	1616.814095	732.7365153	-1.98240916	0.463462094	1279.061661	807.2372124	41	0.75	1592.309476	1038.646698	-1.542010618	0.37016349	4168.724843	3467.596141	144	1	4168.724843	3467.596141	-0.10394116	0.291512167	4637.255605	3893.511786	144	1	4637.255605	3893.511786	0.031797615	0.182429911	4021.625259	2433.026673	144	1	4021.625259	2433.026673	-0.552649486	0.164811237
ABQ16764.1	ABQ16764.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	1896.855556	1242	414	0.844444444	2189.197368	1415.75	2895.727476	2020.712604	506	0.933333333	3080.684087	2176.741271	0.406696815	0.146340983	3248.249327	1740.315667	506	0.933333333	3462.905294	2060.708093	0.473186718	0.211450476	4004.315738	2925.397874	968	0.977777778	4086.088557	2942.600463	0.787726012	0.272398855	2358.417752	1491.552626	443	0.866666667	2677.408934	1618.899676	0.171297383	0.197931994	2242.729727	1272.044463	326	0.755555556	2909.69489	1654.547969	-0.012336551	0.294041143	3009.683073	1104.562039	237	0.733333333	4011.843179	1897.472793	-0.103381973	0.262388495
ABQ16695.1	ABQ16695.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	828.2843137	722	515	0.882352941	892.0888889	766	833.5216469	802.2251931	598	0.901960784	889.4342154	813.6597062	0.048297228	0.087798848	286.6349404	76.75768731	10	0.117647059	1598.967979	1006.649136	-2.000401248	0.533256111	227.9439551	60.79570902	11	0.137254902	1095.904517	598.5904203	-2.264092636	0.459025739	457.969135	261.4782297	24	0.235294118	1202.247345	659.3848471	-1.035553961	0.198510024	415.4446447	237.394032	18	0.196078431	1241.862734	845.3432435	-1.098543098	0.196362133	330.2098668	165.6445141	13	0.137254902	1256.167349	740.2317137	-1.397705671	0.479447864
