Gene	Annotation	Mean Probe Intensity PM2L_7-29-09 	Median Probe Intensity PM2L_7-29-09 	Bright Segment Length Dependent Score PM2L_7-29-09 	Bright Probe Fraction PM2L_7-29-09 	Mean Bright Probe Intensity PM2L_7-29-09 	Median Bright Probe Intensity PM2L_7-29-09 	Mean Probe Intensity PM2L_1-X-10 	Median Probe Intensity PM2L_1-X-10 	Bright Segment Length Dependent Score PM2L_1-X-10 	Bright Probe Fraction PM2L_1-X-10 	Mean Bright Probe Intensity PM2L_1-X-10 	Median Bright Probe Intensity PM2L_1-X-10 	 PM2L_1-X-10 / PM2L_7-29-09 Median	 PM2L_1-X-10 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_3-24-10 	Median Probe Intensity PM2L_3-24-10 	Bright Segment Length Dependent Score PM2L_3-24-10 	Bright Probe Fraction PM2L_3-24-10 	Mean Bright Probe Intensity PM2L_3-24-10 	Median Bright Probe Intensity PM2L_3-24-10 	 PM2L_3-24-10 / PM2L_7-29-09 Median	 PM2L_3-24-10 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_1-6-11 	Median Probe Intensity PM2L_1-6-11 	Bright Segment Length Dependent Score PM2L_1-6-11 	Bright Probe Fraction PM2L_1-6-11 	Mean Bright Probe Intensity PM2L_1-6-11 	Median Bright Probe Intensity PM2L_1-6-11 	 PM2L_1-6-11 / PM2L_7-29-09 Median	 PM2L_1-6-11 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_4-19-11 	Median Probe Intensity PM2L_4-19-11 	Bright Segment Length Dependent Score PM2L_4-19-11 	Bright Probe Fraction PM2L_4-19-11 	Mean Bright Probe Intensity PM2L_4-19-11 	Median Bright Probe Intensity PM2L_4-19-11 	 PM2L_4-19-11 / PM2L_7-29-09 Median	 PM2L_4-19-11 / PM2L_7-29-09  Median Absolute Deviation
ADC74702.1	ADC74702.1 reductive dehalogenase [Dehalococcoides sp. GT].	9828.581633	8447	2401	1	9828.581633	8447	10766.45075	9833.45648	2401	1	10766.45075	9833.45648	0.121504215	0.128346067	15029.50628	12991.01337	2401	1	15029.50628	12991.01337	0.350112709	0.177210787	11815.76501	10355.15472	2401	1	11815.76501	10355.15472	0.124921364	0.275815698	23720.18166	15150.29741	2401	1	23720.18166	15150.29741	0.543771441	0.863993061
AAT48556.1	AAT48556.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	10183.14583	9580.25	2304	1	10183.14583	9580.25	20022.03899	18757.38968	2304	1	20022.03899	18757.38968	0.670376585	0.150180962	14677.65469	12662.86474	2304	1	14677.65469	12662.86474	0.302760459	0.224010563	27103.35993	24598.54253	2304	1	27103.35993	24598.54253	0.938234628	0.345985611	42887.75314	39976.79876	2304	1	42887.75314	39976.79876	1.285214931	0.296196589
ABA64539.1	ABA64539.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	14418.8125	13484	2304	1	14418.8125	13484	20220.20445	18593.18643	1117	0.979166667	20639.55152	18748.31906	0.389951366	0.15236989	25322.23977	21838.63714	2304	1	25322.23977	21838.63714	0.449889036	0.336803824	18064.20203	16821.11566	1076	0.958333333	18840.13294	17766.70282	0.258000035	0.27372452	12418.15396	8814.822154	1117	0.979166667	12678.91305	9320.793927	-0.377801166	0.761543658
ABQ16710.1	ABQ16710.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	7783.75	7709	2304	1	7783.75	7709	2082.613039	2133.065136	1865	0.979166667	2116.3399	2136.576516	-1.279380957	0.15417773	965.1876993	797.7792053	713	0.8125	1086.778125	911.4711188	-2.202741081	0.219106655	317.6917102	272.8543901	3	0.0625	885.8986794	724.0589607	-3.214969978	0.464674611	670.8516425	505.2830949	61	0.4375	998.3947444	627.0690017	-2.61240843	0.252657248
ADC74693.1	ADC74693.1 reductive dehalogenase [Dehalococcoides sp. GT].	7067.819149	5823	2209	1	7067.819149	5823	6295.709565	5665.238346	2209	1	6295.709565	5665.238346	-0.08676246	0.159807711	11582.64678	4111.835948	2209	1	11582.64678	4111.835948	-0.28832425	1.582337153	8149.389452	6396.541596	2209	1	8149.389452	6396.541596	0.02253621	0.450857527	9188.010705	4697.663303	1025	0.957446809	9575.100967	5065.49671	-0.053781126	1.324190288
AAT48548.1	AAT48548.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	8116.880435	7207.25	2116	1	8116.880435	7207.25	21409.57278	21056.71897	2116	1	21409.57278	21056.71897	1.02372656	0.241616954	15196.71328	13603.41038	2116	1	15196.71328	13603.41038	0.569255065	0.198465485	35087.31377	32920.26427	2116	1	35087.31377	32920.26427	1.518284638	0.255657438	50728.98901	45438.76245	2116	1	50728.98901	45438.76245	1.80097635	0.227909765
CAI83531.1	CAI83531.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	5865.25	5033.25	2116	1	5865.25	5033.25	9966.459179	9070.320858	2116	1	9966.459179	9070.320858	0.621777641	0.339528354	23524.64831	17345.74458	2116	1	23524.64831	17345.74458	1.249904459	0.350799808	15356.71142	12152.1515	1233	0.97826087	15693.78474	12411.36247	0.781979619	0.928718019	32042.97532	22009.60311	1233	0.97826087	32743.85225	24457.68845	1.742640574	0.93518666
AAW40575.1	"AAW40575.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	11841.61111	10339	2025	1	11841.61111	10339	9017.361631	6285.695479	2025	1	9017.361631	6285.695479	-0.363552566	0.32610136	8542.089311	7281.39825	2025	1	8542.089311	7281.39825	-0.410930367	0.271616239	25653.81424	24711.9127	2025	1	25653.81424	24711.9127	0.82378725	0.53818948	37825.97763	36050.37733	2025	1	37825.97763	36050.37733	1.145891428	0.584713459
ABQ16764.1	ABQ16764.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	23187.56667	21791	2025	1	23187.56667	21791	24386.7609	21543.64867	2025	1	24386.7609	21543.64867	0.038960397	0.149238631	17076.77027	15819.06106	2025	1	17076.77027	15819.06106	-0.299086585	0.256146529	17549.65507	13691.55759	2025	1	17549.65507	13691.55759	-0.364775167	0.380248142	14361.26724	5074.305966	2025	1	14361.26724	5074.305966	-1.365689043	0.968686055
ACZ61341.1	ACZ61341.1 reductive dehalogenase [Dehalococcoides sp. VS].	11745.52222	9769	2025	1	11745.52222	9769	9337.787291	5841.906949	2025	1	9337.787291	5841.906949	-0.444979977	0.414899718	8237.62344	6655.882784	1850	0.977777778	8417.41074	6861.773111	-0.421414953	0.346428576	23027.43946	23616.82633	2025	1	23027.43946	23616.82633	0.780707731	0.503289764	34412.03444	32764.86061	2025	1	34412.03444	32764.86061	1.00436135	0.604666163
BAG55976.1	BAG55976.1 reductive dehalogenase [uncultured bacterium].	10599.425	9783.25	400	1	10599.425	9783.25	14566.17547	14069.72275	400	1	14566.17547	14069.72275	0.338377801	0.17510973	14791.13006	11587.53577	400	1	14791.13006	11587.53577	0.136576461	0.379607027	16019.5073	13753.88428	400	1	16019.5073	13753.88428	0.285777355	0.369404396	7613.434643	5389.529141	400	1	7613.434643	5389.529141	-0.556910955	0.826306416
ADR80140.1	ADR80140.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	13907.97368	9760	361	1	13907.97368	9760	17660.82401	13622.21156	361	1	17660.82401	13622.21156	0.262928271	0.182094528	18406.41652	12253.02059	361	1	18406.41652	12253.02059	0.158769623	0.381615461	17545.42189	13785.58551	361	1	17545.42189	13785.58551	0.173317439	0.451903843	12946.15546	7527.103484	361	1	12946.15546	7527.103484	-0.715829637	0.543046738
ABB89703.1	ABB89703.1 trichloroethene reductive dehalogenase [Dehalococcoides sp. FMC-TCE].	2572.818182	2208	2810	0.981818182	2614.731481	2251.25	1407.443208	1264.486272	1630	0.909090909	1513.335456	1397.697549	-0.626538501	0.14085031	1420.915838	445.8397012	148	0.436363636	2890.232126	1242.625201	-1.610497051	0.450460617	10311.87713	8126.103475	3025	1	10311.87713	8126.103475	1.269201063	0.380561376	7334.222007	4431.797883	1666	0.945454545	7738.40453	4797.479181	0.677984305	0.532606905
AAQ94119.1	AAQ94119.1 vinyl chloride reductase precursor [bacterium VS].	4192.086538	4145.5	2313	0.980769231	4267.794118	4165	2105.39921	2158.72044	2313	0.980769231	2144.565206	2168.32677	-0.660039228	0.151960149	962.5966312	617.8797165	166	0.653846154	1266.495802	832.0091527	-1.848445837	0.369931914	531.2475121	281.2642967	11	0.134615385	2189.26611	1246.106645	-2.708883768	0.221173413	781.1953008	422.7670434	35	0.326923077	1661.523682	740.9852765	-2.296220223	0.216474732
ACZ62463.1	ACZ62463.1 reductive dehalogenase [Dehalococcoides sp. VS].	2946.147059	2874	2050	0.980392157	2996.79	2893	5248.892048	5177.029457	2601	1	5248.892048	5177.029457	0.56931185	0.117702794	2010.652394	1074.279418	710	0.823529412	2363.911778	1276.061661	-1.047821024	0.51686547	4077.642639	3622.88816	1793	0.960784314	4231.469048	4024.088129	0.179782432	0.310277603	1762.411741	612.7677985	125	0.568627451	2854.534359	823.4136431	-1.629481789	0.36133314
ACZ62419.1	ACZ62419.1 reductive dehalogenase [Dehalococcoides sp. VS].	2747.627451	2456.5	1322	0.980392157	2796.93	2507.25	1246.54314	1182.559387	990	0.901960784	1345.565735	1215.550952	-0.816644734	0.130783055	1051.926977	562.2863595	405	0.647058824	1441.007046	1058.691328	-1.353319499	0.484354211	280.5779071	201.3661528	7	0.098039216	835.1593259	850.0987809	-2.47756755	0.255789123	616.2387049	291.213013	35	0.294117647	1477.421301	747.3836444	-2.152714634	0.322657742
ACZ62529.1	ACZ62529.1 reductive dehalogenase [Dehalococcoides sp. VS].	5575.561224	5159.5	1544	0.979591837	5687.84375	5448.75	6396.378522	6861.68672	1005	0.959183673	6653.289578	6896.898467	0.150539614	0.163889665	8210.987439	6525.72609	533	0.918367347	8919.372082	6961.725085	0.137924849	0.34587929	7631.154898	6968.348942	442	0.897959184	8465.224239	7722.027698	0.240192687	0.570052928	17246.04184	9772.218486	574	0.897959184	19172.94723	11619.27499	0.450648836	1.155061293
2013897169	>2013897169 DCKB1\_107470 reductive dehalogenase 32149..33621(-) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	4582.693878	4324	1490	0.979591837	4675.052083	4326	2402.677828	2471.39202	1490	0.979591837	2450.631875	2477.047236	-0.622622328	0.145310656	2956.595099	2600.333894	1451	0.959183673	3073.966881	2613.933487	-0.483627295	0.312445985	377.9087662	292.0586754	5	0.102040816	1190.001105	788.2441973	-2.650760374	0.311982998	574.6121028	452.7651832	42	0.367346939	895.0407283	761.341195	-2.212154566	0.337105808
AAT48554.1	AAT48554.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	4217.053191	4438.5	1508	0.978723404	4298.467391	4451.75	9429.200262	9843.909941	1508	0.978723404	9627.411779	10115.23974	0.766388007	0.354007767	17429.478	15322.29371	1113	0.957446809	18190.59215	16074.62839	1.302138491	0.385390871	15493.14529	13829.1281	482	0.893617021	17315.77608	17145.82299	1.22925691	0.423793489	34501.98214	27170.71843	497	0.914893617	37692.57776	28266.46731	1.876343523	0.530950853
CAI83570.1	CAI83570.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	1429.42	955.75	1946	0.96	1471.958333	971	2779.59237	2099.226981	2500	1	2779.59237	2099.226981	0.834272352	0.078826438	8540.15122	3561.995266	1961	0.98	8705.625841	3682.154632	1.328674108	0.404233527	3360.671575	1355.792704	1946	0.96	3490.568761	1396.837776	0.311571241	0.130490454	16080.28815	721.6293472	153	0.58	27471.01218	1014.830262	-0.432034407	0.342869568
ADR00316.1	ADR00316.1 TceA protein [Dehalococcoides sp. enrichment culture SL2 clone SL2-DCE-G1].	2355.5	2186.75	529	0.958333333	2437.130435	2190.5	1206.180718	1096.260641	442	0.916666667	1280.070876	1173.050066	-0.616180259	0.092170508	892.1951465	477.0377964	22	0.416666667	1649.268291	1418.728953	-1.485506113	0.339688559	10207.87241	8582.773082	576	1	10207.87241	8582.773082	1.394723128	0.313109373	6033.062113	4496.859629	529	0.958333333	6275.051294	4719.296212	0.774474017	0.327713966
BAI70451.1	BAI70451.1 reductive dehalogenase [uncultured bacterium].	11334.82979	10868	1019	0.957446809	11824.61111	11255	15518.47995	15366.6975	1130	0.978723404	15854.12997	15848.67815	0.36257052	0.25359881	15740.85997	13738.08799	1019	0.957446809	16436.95388	14688.79783	0.234349429	0.340140872	17463.95871	15253.78867	1097	0.957446809	18230.97748	16431.30737	0.411056484	0.415147461	14151.93916	6642.343167	949	0.914893617	15439.74036	7802.759931	-0.285731852	0.755184378
CAI83563.1	CAI83563.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	1210.282609	1148	886	0.956521739	1245.568182	1156.5	3245.051357	2829.716874	2116	1	3245.051357	2829.716874	0.99277891	0.106088179	1323.137658	982.7544913	177	0.760869565	1628.924269	1255.656531	-0.130898733	0.419193374	1594.60181	1457.59105	1096	0.956521739	1648.162165	1483.0368	0.233737692	0.238184894	356.2674581	272.2576743	16	0.173913043	951.2694976	715.6622747	-1.54437162	0.158747486
ADR80137.1	ADR80137.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	5683.138889	6347.5	185	0.944444444	6012.970588	6568	4808.966208	5194.391377	185	0.944444444	5084.187998	5348.517878	-0.177068318	0.133275511	15168.95652	8837.10501	160	0.888888889	17051.66039	17852.04645	0.287205624	1.690354573	5526.261655	5285.545421	160	0.888888889	6199.879341	5555.502863	-0.018636933	0.299996273	5504.905794	3996.496671	137	0.833333333	6559.900262	6159.842603	-0.356632453	1.003784641
ACZ62459.1	ACZ62459.1 reductive dehalogenase [Dehalococcoides sp. VS].	8898.679245	4327	1396	0.943396226	9419.17	5103	7935.423135	4535.448717	1396	0.943396226	8399.002465	4863.934708	-0.130000437	0.237602003	10103.80976	2412.491675	734	0.867924528	11608.75667	3701.07378	-0.61183973	0.497621473	12047.4647	7972.369737	811	0.886792453	13557.52247	8732.233716	0.211002551	1.008621548	14183.74679	7213.917027	810	0.867924528	16308.88911	12521.06925	0.325558867	1.008423165
ACZ62415.1	ACZ62415.1 reductive dehalogenase [Dehalococcoides sp. VS].	4669.44898	3386	1114	0.93877551	4962.119565	3747	9341.198598	7436.016336	1177	0.959183673	9729.824517	9108.67703	0.812512638	0.319126676	5582.934416	4458.897617	469	0.836734694	6625.435664	4863.830361	-0.093790242	0.420177361	9048.246793	6834.746443	528	0.857142857	10516.8969	8480.667473	0.550131909	0.494414465	12126.97738	9896.737082	967	0.87755102	13795.22212	10372.23182	0.686000261	0.749234634
CAI83566.1	CAI83566.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	1314.09375	1191.75	773	0.9375	1376.788889	1219	3044.776488	2662.971344	2304	1	3044.776488	2662.971344	0.880424023	0.12000885	2613.318122	1735.932368	306	0.833333333	3067.164373	2008.514618	0.376860223	0.620573176	1612.481141	1131.563948	773	0.9375	1691.98509	1159.169482	0.179088174	0.231113207	1035.328213	453.8619912	51	0.354166667	2433.303509	692.1334219	-1.138765361	0.472655863
ADC74662.1	ADC74662.1 reductive dehalogenase [Dehalococcoides sp. GT].	2399.459184	1991.5	1377	0.918367347	2592.8	2007	4986.372201	4438.512536	1417	0.959183673	5190.105234	4509.355373	0.853675211	0.258716689	9196.532582	5293.788216	694	0.897959184	10218.13153	5427.616897	0.846387135	0.614988948	5406.205431	3027.011807	659	0.87755102	6123.374519	3965.810952	0.62836803	0.415307295	5853.578134	1073.374883	369	0.755102041	7677.357131	3103.373359	-0.41116244	0.90096294
ACZ62498.1	ACZ62498.1 reductive dehalogenase [Dehalococcoides sp. VS].	6039.489796	5323	1071	0.918367347	6553.333333	6196.5	11710.27272	11641.12225	1121	0.959183673	12202.75243	13039.503	0.755738475	0.301653111	6768.055658	5428.698272	652	0.857142857	7862.110012	6360.957579	-0.102725589	0.345584126	11661.31125	10332.88194	944	0.857142857	13567.19951	13162.53469	0.525182552	0.660020346	15634.14279	10810.74116	645	0.836734694	18641.9694	14296.11942	0.589147278	0.879875029
